dorsal,ventral
48,96
92,96
84,96
52,80
32,96
88,96
48,92
56,28
88,96
40,96
80,0
64,92
60,96
84,96
128,96
92,96
32,64
48,80
80,76
80,80
164,96
88,96
120,100
60,96
80,76
100,96
84,80
80,80
40,124
84,28
48,92
48,64
20,64
52,96
20,96
8,148
20,96
52,96
84,96
40,96
32,80
60,96
52,80
64,60
52,24
40,96
80,0
52,96
160,100
40,96
84,96
104,96
80,96
88,96
84,96
56,96
80,88
80,92
40,52
92,96
48,96
80,80
20,80
32,136
84,96
12,28
88,96
52,64
148,144
52,28
40,92
148,144
144,96
44,64
52,28
160,76
48,92
80,28
92,96
48,92
40,80
80,64
64,64
116,116
32,64
92,96
32,96
52,148
80,80
20,80
60,64
32,64
40,92
88,92
156,148
80,24
40,92
60,64
40,28
108,96
80,88
8,144
88,100
32,96
100,96
92,100
80,80
120,96
40,96
120,96
156,96
52,92
156,96
80,92
84,100
40,80
52,92
64,80
80,0
80,28
32,96
56,28
88,96
40,76
32,60
48,96
84,80
60,60
80,80
32,96
80,92
40,92
52,96
16,96
120,136
52,144
40,88
156,96
164,96
80,100
152,96
80,80
64,96
40,88
80,76
20,96
56,28
8,76
64,64
80,80
64,64
48,80
48,76
48,96
40,28
40,28
64,4
84,88
32,116
60,96
80,112
84,64
84,64
64,80
64,80
40,96
40,96
52,80
92,96
52,28
88,96
48,88
44,92
20,84
104,96
32,96
60,32
32,96
40,96
84,96
84,92
84,80
20,32
60,96
40,64
84,96
60,64
60,76
60,100
88,148
64,96
80,96
48,96
156,96
40,96
60,80
152,144
8,28
48,96
80,64
80,80
92,96
64,28
32,96
56,96
64,64
48,96
84,148
84,76
88,96
20,28
84,80
88,92
48,28
80,88
88,96
80,80
84,96
52,96
88,4
40,148
48,96
88,96
152,92
80,88
32,96
20,144
40,116
52,80
60,96
88,100
80,80
56,92
52,60
56,24
52,96
88,96
52,92
40,84
8,24
60,92
156,96
84,96
40,88
20,80
48,92
64,64
60,64
48,80
48,96
80,76
60,60
88,96
84,96
32,80
84,80
64,36
48,96
84,96
80,88
40,76
60,100
140,144
56,100
32,96
60,96
12,96
80,80
40,28
40,96
92,96
12,28
88,96
132,144
84,80
32,96
148,144
48,88
40,80
52,96
60,96
148,148
108,96
44,64
52,148
20,96
80,80
48,88
132,96
40,96
20,96
84,96
48,92
20,96
92,96
136,116
52,96
92,96
64,64
80,80
48,28
152,96
56,144
12,80
80,28
64,80
88,76
84,80
128,96
88,96
52,24
20,32
92,96
32,96
60,96
80,16
68,76
40,28
80,96
40,80
108,96
32,92
32,96
112,96
88,96
88,88
148,96
32,92
32,80
92,96
40,80
40,100
80,88
56,124
48,80
12,92
116,64
64,96
80,80
32,44
40,96
60,80
84,76
60,92
80,80
88,120
32,96
152,124
52,96
40,76
20,60
48,96
40,96
48,80
40,96
64,64
60,64
40,96
40,80
80,76
160,100
52,96
80,80
60,132
40,96
48,92
40,96
48,60
84,92
40,92
148,96
28,28
88,92
32,92
80,96
80,76
88,96
52,28
48,96
84,96
60,80
88,0
84,92
48,92
88,96
32,80
40,100
88,96
48,36
32,96
40,92
64,8
60,96
84,100
84,80
40,124
60,96
92,76
48,80
48,28
40,80
40,92
48,28
32,96
80,28
52,96
80,64
40,80
8,0
52,96
116,96
120,96
48,84
84,80
76,80
40,96
84,80
32,96
148,96
84,100
132,100
92,152
48,88
156,96
52,96
60,96
56,80
40,100
40,96
20,96
80,80
156,96
156,100
32,80
32,64
112,96
92,96
88,96
48,64
64,28
80,80
60,96
60,96
80,92
56,96
8,28
144,96
108,100
120,96
64,16
40,92
64,4
60,76
20,140
64,96
156,96
80,88
32,96
92,96
92,140
80,96
28,96
148,96
104,96
88,92
52,120
40,76
84,96
40,60
56,60
40,96
92,100
52,148
40,96
40,96
80,64
32,92
88,96
84,76
84,96
40,96
40,64
160,100
84,76
88,92
92,96
60,64
88,96
48,64
88,92
80,64
48,92
88,124
88,92
32,96
60,64
80,96
40,96
32,96
40,60
32,80
40,116
84,96
80,80
52,28
20,24
40,88
148,96
156,92
80,96
68,76
92,116
52,64
80,80
