dorsal,ventral
32,96
52,28
88,96
64,92
8,28
40,132
120,136
80,76
156,96
88,148
84,96
80,76
48,96
80,24
152,96
56,96
128,96
144,96
116,76
60,96
32,100
84,96
88,76
48,96
64,64
48,96
56,116
40,96
80,92
40,64
64,48
52,96
84,96
80,80
40,96
48,96
84,96
80,76
60,28
56,96
48,64
64,64
88,92
152,60
64,76
108,96
116,92
40,28
88,64
80,80
64,80
88,96
120,96
108,92
88,80
80,28
148,132
92,96
84,96
88,152
80,80
0,28
64,80
60,96
84,96
48,92
56,92
88,148
40,96
80,96
64,64
148,100
12,92
152,96
40,88
60,100
128,96
80,28
48,96
84,76
80,88
60,96
52,64
40,96
148,24
80,76
20,28
40,92
88,96
160,96
88,88
88,92
32,96
88,96
48,80
60,132
140,112
64,64
32,92
88,92
52,96
40,80
88,80
20,88
32,64
48,88
80,0
60,92
48,92
88,96
80,88
32,64
20,100
92,96
84,100
64,96
80,28
80,80
120,92
88,96
92,96
40,96
80,76
40,96
40,96
32,88
64,64
40,96
56,96
12,0
88,88
40,100
80,64
20,96
32,96
88,92
40,96
52,136
40,96
80,80
80,64
48,96
84,100
52,96
60,96
52,96
48,96
88,96
48,76
64,96
88,100
56,64
88,96
80,76
60,64
48,92
88,132
80,96
68,60
88,0
40,96
84,92
0,0
80,80
84,96
88,92
40,36
20,28
84,80
40,80
32,28
0,8
48,60
32,96
80,76
48,88
88,96
84,80
40,96
64,80
64,60
88,92
80,80
48,96
88,96
84,96
64,76
84,96
48,96
156,96
80,28
84,76
48,28
48,92
40,96
88,96
52,80
52,96
48,64
84,96
84,80
60,96
84,76
64,0
20,28
20,76
64,8
156,96
48,100
40,92
88,96
60,64
40,64
60,100
32,96
80,80
120,96
112,96
64,64
32,28
84,80
40,88
80,80
32,28
88,92
40,64
48,80
148,148
152,96
12,28
64,64
80,80
84,140
92,136
156,96
52,80
20,28
48,96
88,96
88,96
80,80
124,0
32,152
144,96
80,76
40,96
80,88
84,80
56,116
60,96
40,96
84,76
56,100
124,96
88,96
40,96
56,24
136,76
92,96
84,96
128,96
80,80
84,96
40,64
40,96
116,96
64,0
120,96
64,64
88,96
88,96
80,64
80,76
64,92
84,80
40,84
88,96
48,92
88,96
92,64
88,148
40,80
16,80
60,96
112,96
32,80
88,96
12,96
52,96
84,28
92,124
40,96
48,0
64,96
28,96
56,28
52,96
92,0
92,60
64,80
80,96
120,96
64,116
32,96
48,96
80,96
48,64
60,96
28,64
84,76
124,96
88,96
60,60
52,96
52,96
40,96
52,96
148,144
40,96
20,28
48,96
52,80
20,64
92,96
80,96
68,80
64,60
48,80
40,8
48,96
140,96
116,92
84,76
60,96
48,96
84,80
84,76
40,80
32,80
80,80
20,16
64,92
88,96
32,120
80,80
52,96
52,60
88,92
132,128
40,96
40,96
84,80
52,24
148,140
40,80
64,96
80,28
12,76
88,96
80,76
76,80
84,80
108,96
40,124
48,92
92,148
40,96
8,88
84,96
120,100
88,96
80,88
48,64
64,96
88,96
32,28
48,96
32,96
52,96
40,116
60,140
32,80
88,96
88,96
124,96
84,80
64,96
116,96
48,80
64,76
52,96
48,32
84,96
80,76
48,92
8,8
80,96
48,96
52,88
104,24
80,80
20,96
40,96
80,76
40,96
48,96
88,96
80,80
40,92
8,76
40,80
40,96
40,96
80,80
144,96
40,32
40,92
80,96
48,96
48,76
84,148
48,64
92,96
32,92
80,80
60,0
92,96
148,96
92,100
20,96
32,8
60,100
32,80
28,96
152,96
40,96
40,96
88,96
64,96
56,28
84,96
80,80
84,80
156,100
88,148
84,76
64,80
84,100
80,80
40,64
48,28
40,96
64,28
156,100
48,144
48,80
92,96
40,92
84,120
156,24
80,80
32,96
60,96
32,8
88,96
48,80
60,96
40,92
80,88
32,88
40,80
88,96
40,80
52,80
156,28
88,96
124,100
56,64
48,64
52,96
20,92
8,76
80,88
88,96
28,28
156,100
