occipital,frontal,dorsal,ventral
40,40,12,40
36,68,16,52
36,36,28,32
68,48,44,52
40,40,16,48
36,52,12,36
64,48,36,52
40,44,12,40
40,40,40,36
68,48,16,52
36,48,40,44
40,48,16,40
40,36,44,36
28,40,28,24
40,68,44,44
36,44,24,44
40,56,24,52
20,40,40,40
36,32,40,36
8,12,16,12
12,12,16,12
40,48,36,40
36,36,16,40
36,40,12,40
36,40,40,40
40,40,12,40
36,44,36,36
36,44,36,44
40,48,12,52
20,40,24,36
40,40,16,36
48,36,48,40
40,36,40,40
40,48,40,40
64,40,20,52
64,48,16,52
12,12,12,12
56,40,44,52
12,12,16,52
40,44,44,40
60,44,16,48
40,40,36,36
12,64,52,52
32,40,40,36
40,40,60,40
64,48,52,52
24,32,16,24
24,40,12,24
20,44,20,20
40,40,20,44
16,36,28,24
8,40,12,16
40,52,52,40
40,52,28,40
20,40,24,36
12,48,12,12
36,48,28,56
16,12,12,24
40,48,52,40
36,48,36,36
40,40,20,52
32,12,20,12
64,48,44,52
64,68,48,52
20,40,40,24
36,40,12,48
48,44,28,44
40,36,44,40
68,48,16,52
28,48,28,36
68,52,52,52
36,48,12,52
36,48,12,48
40,48,52,48
40,40,40,44
24,44,40,24
16,12,12,48
36,48,36,40
24,36,40,20
60,48,28,52
48,44,40,44
40,48,52,48
20,40,40,36
40,48,20,40
40,52,52,48
16,40,40,36
40,48,48,44
56,40,44,52
12,48,16,12
16,12,12,12
48,68,24,40
64,56,48,56
68,48,52,56
36,48,16,48
64,52,16,52
12,12,20,12
12,8,12,12
40,40,40,40
12,12,24,8
40,36,12,52
20,24,24,20
56,44,12,48
48,40,24,40
36,48,24,48
20,44,12,36
36,48,40,40
8,8,16,8
36,44,28,24
48,40,24,52
36,48,28,36
20,48,16,40
12,12,12,52
36,36,8,40
12,16,16,12
36,40,40,36
40,48,52,48
64,40,52,52
16,48,28,24
28,36,28,28
40,24,44,68
16,48,40,48
32,40,36,40
48,44,28,44
36,48,52,40
36,68,44,40
40,44,20,40
40,40,44,40
36,40,40,36
68,68,24,52
36,48,48,40
36,48,52,36
40,68,20,52
36,36,20,52
64,36,16,52
60,40,16,40
60,40,12,52
64,68,44,52
20,40,8,24
20,40,20,16
36,40,16,40
24,44,20,24
20,40,28,36
36,36,20,36
40,52,44,52
12,20,44,12
12,36,12,52
36,44,44,40
60,68,52,68
12,40,12,12
12,12,16,36
40,40,44,36
8,68,16,12
40,44,48,40
16,40,20,24
36,44,44,40
36,36,20,52
36,48,28,32
36,36,24,36
40,40,8,36
40,40,40,36
36,16,12,44
40,40,52,48
36,36,44,36
8,48,12,12
12,12,16,12
40,44,52,24
36,48,44,48
40,40,12,40
20,44,12,40
40,48,40,44
20,40,16,16
40,64,12,48
68,36,20,68
32,36,24,36
40,40,44,48
12,12,8,8
36,48,20,40
40,44,44,44
64,48,52,48
36,36,32,40
28,36,28,24
20,48,28,24
12,8,16,8
12,12,12,40
40,56,52,48
40,52,16,48
12,48,16,12
68,68,24,36
36,44,40,36
12,8,16,12
40,36,40,40
12,12,12,12
36,36,20,40
40,52,12,48
36,36,20,48
40,40,44,40
68,48,24,68
40,40,52,40
40,48,24,52
28,36,24,32
36,52,36,48
20,48,20,40
36,44,12,40
16,40,12,16
12,12,12,12
40,44,40,40
40,40,24,48
36,48,40,36
36,44,44,36
12,48,16,12
8,8,12,8
36,44,36,44
40,48,16,48
36,40,40,52
12,8,12,12
32,48,28,28
36,64,24,36
40,48,44,36
40,36,40,40
36,48,52,36
48,52,24,68
40,40,16,40
36,40,28,32
64,48,12,64
16,16,28,36
40,44,48,44
68,48,16,56
40,48,44,52
40,40,16,40
40,52,28,52
36,48,28,36
16,12,20,52
40,36,16,56
16,40,60,36
8,12,12,8
40,40,40,44
36,40,28,36
40,40,40,40
40,48,52,52
60,36,16,52
40,44,20,44
40,48,24,40
12,8,20,12
36,48,24,36
40,36,44,48
60,52,52,52
36,48,40,40
36,48,20,36
36,16,24,36
40,36,20,40
64,64,40,36
40,48,60,40
40,40,32,36
32,40,24,36
16,36,48,40
16,40,24,16
12,12,16,12
36,48,44,52
16,12,16,12
12,48,12,52
56,68,44,52
40,36,20,40
36,16,12,52
48,40,40,44
40,48,16,48
40,48,40,40
60,48,48,68
16,12,24,16
36,44,20,48
36,12,16,44
64,48,52,52
12,12,20,12
36,48,16,40
36,48,20,44
12,36,24,12
68,52,24,52
36,48,16,52
40,44,28,40
36,48,52,48
16,12,12,40
36,48,12,40
64,44,12,44
40,64,44,40
16,40,24,12
68,68,12,48
12,8,12,8
16,16,24,12
68,48,28,36
16,12,16,12
36,48,36,52
40,36,24,40
60,40,40,52
40,40,20,40
24,36,40,28
36,44,44,40
36,40,20,40
64,48,52,52
40,44,40,40
40,52,12,20
36,12,28,40
40,40,40,44
40,44,20,36
68,12,16,52
36,36,44,40
32,40,28,12
12,12,16,8
36,48,44,40
36,48,40,44
68,52,16,52
36,48,28,48
40,40,16,40
36,40,20,36
12,8,20,12
40,64,12,48
40,44,12,36
36,36,36,48
36,40,40,36
44,64,52,52
24,36,28,24
36,44,48,40
36,40,16,36
64,36,12,52
36,40,12,36
36,40,24,36
40,48,12,36
36,48,28,56
56,48,16,52
40,48,12,48
40,40,36,40
36,40,16,40
36,44,28,36
40,64,52,48
12,12,16,12
40,12,8,12
40,40,44,40
48,36,44,44
40,64,48,24
24,12,16,28
12,12,12,12
12,64,12,40
20,40,24,40
36,40,16,16
28,36,28,28
68,36,44,52
8,8,12,8
64,48,36,48
12,12,8,12
36,44,12,20
60,44,44,48
64,48,44,48
36,40,48,36
68,68,52,68
40,48,52,40
16,36,40,16
36,36,16,68
40,40,44,40
16,44,44,12
40,48,52,40
40,36,44,40
24,44,28,24
20,40,16,20
48,44,52,48
12,12,16,12
68,48,28,52
16,12,12,48
40,52,24,52
12,44,20,40
40,48,52,40
36,40,16,36
40,36,48,56
40,40,12,40
64,48,48,52
40,52,12,48
40,40,44,52
8,36,16,12
36,52,40,48
52,40,28,52
36,48,12,48
12,40,20,12
24,40,44,24
12,12,20,12
36,48,32,32
12,12,16,12
40,40,44,44
40,40,40,40
64,64,48,44
36,48,52,48
36,48,20,52
68,68,52,52
16,48,12,48
24,40,24,24
16,52,16,36
40,40,52,36
36,12,16,40
20,36,44,16
64,52,16,48
44,48,36,44
28,48,24,32
68,48,24,52
12,16,12,12
36,36,24,36
8,12,12,8
12,40,40,44
40,68,44,52
12,36,28,12
16,12,20,40
36,48,44,36
48,36,24,40
40,36,48,40
36,48,12,48
40,44,28,36
48,44,24,44
40,48,24,52
36,48,44,48
12,12,28,12
36,12,16,12
32,12,24,36
36,40,44,36
36,44,28,36
48,40,44,36
40,40,40,36
32,44,24,32
12,16,16,12
40,68,24,28
40,48,52,48
40,40,28,40
52,40,44,40
16,12,20,36
68,48,16,52
12,16,20,12
36,8,20,40
12,40,12,12
28,48,16,28
44,48,48,48
12,48,16,12
36,44,16,36
36,44,24,48
24,12,20,12
40,36,52,48
48,52,48,40
40,40,44,36
24,36,40,32
40,48,16,52
24,40,24,24
48,44,16,48
64,48,52,56
36,40,20,44
36,48,16,40
36,52,44,36
32,40,40,32
64,48,52,52
36,36,32,32
56,68,16,44
16,40,16,40
36,44,36,36
36,48,24,36
16,16,28,12
36,48,40,48
36,52,20,36
24,44,20,36
40,44,36,40
16,40,36,36
40,48,12,36
40,40,40,36
64,68,28,36
60,48,12,52
36,48,24,44
64,68,28,68
56,48,40,52
36,44,20,20
36,44,28,48
36,40,44,36
40,44,16,40
36,48,16,52
64,48,20,68
36,36,44,36
64,48,44,52
12,48,16,36
20,40,40,36
36,40,24,44
36,48,28,48
64,64,52,56
12,12,12,12
48,64,44,44
40,40,12,36
40,48,12,40
40,44,40,40
16,40,12,16
40,44,48,36
8,32,24,12
20,52,16,40
40,40,44,44
68,52,28,52
40,40,16,40
40,40,36,40
16,40,40,16
12,12,16,12
40,52,12,44
40,48,12,48
40,64,48,40
40,44,44,40
36,48,16,48
12,12,20,12
12,8,12,8
40,40,40,40
40,36,40,36
64,48,28,52
36,48,16,44
12,12,12,12
40,44,36,44
32,48,16,36
44,44,12,44
40,40,52,40
8,12,20,8
48,44,48,52
36,32,28,52
36,40,28,32
40,36,20,40
64,36,52,52
60,44,44,52
40,44,16,40
48,48,44,40
64,48,24,68
12,12,12,12
12,40,12,48
36,44,44,40
40,40,52,44
8,12,16,8
36,68,20,36
40,40,16,44
40,48,28,36
48,44,24,52
24,68,44,24
40,40,20,40
40,48,16,48
36,48,16,52
44,64,48,40
40,48,52,40
36,48,24,36
40,48,44,40
40,40,16,40
40,40,12,40
68,52,24,52
40,56,52,40
24,44,40,36
40,40,16,48
36,36,20,40
32,12,24,36
36,48,20,36
40,40,48,40
24,40,28,36
56,52,16,28
68,48,36,68
40,64,48,44
36,48,44,48
36,48,40,40
40,52,20,52
32,48,16,36
36,48,28,36
36,40,16,36
20,52,16,48
40,48,52,44
24,36,40,36
36,48,28,36
12,52,12,16
40,40,36,40
36,48,16,48
40,40,12,48
36,44,24,48
32,48,52,28
60,40,12,48
24,68,24,24
40,48,12,48
36,48,40,32
36,48,28,52
60,48,52,52
12,40,16,12
64,48,48,52
32,40,24,32
64,52,48,52
40,44,16,40
68,48,12,52
36,48,16,40
36,48,12,40
12,8,16,12
36,40,12,28
56,52,44,52
48,64,24,44
68,52,12,52
36,48,44,32
68,52,52,52
8,8,12,8
12,40,12,16
40,40,44,40
12,12,12,40
40,40,12,36
40,36,44,36
40,48,24,52
56,40,28,52
40,40,40,36
28,36,24,36
32,36,28,28
40,40,16,48
40,64,16,40
24,16,24,16
40,40,40,40
40,12,16,52
40,16,16,40
36,40,12,36
40,48,12,48
44,48,12,40
16,48,44,36
40,40,44,40
64,68,28,28
12,16,12,40
36,44,40,40
8,8,12,8
12,32,20,12
36,48,48,40
40,48,52,56
40,52,56,40
40,44,28,36
12,40,20,16
40,48,36,40
32,36,16,36
40,40,44,52
36,48,16,40
16,40,16,36
24,40,16,28
40,48,16,40
36,48,36,48
36,36,24,36
40,48,12,52
36,36,40,40
40,48,20,44
48,44,28,44
8,68,20,16
60,44,40,48
40,12,12,52
64,52,52,52
28,64,16,20
36,40,28,52
40,48,12,40
36,48,16,56
64,52,28,52
64,48,52,52
40,64,48,52
68,36,56,56
36,40,12,48
12,16,12,12
40,12,12,48
40,44,52,44
40,36,24,48
40,44,28,44
16,44,44,36
36,40,44,32
28,36,28,32
60,36,24,64
40,48,16,40
40,40,44,40
40,48,16,48
16,36,24,36
8,64,44,16
12,36,16,12
56,36,24,36
68,52,44,52
36,40,12,40
24,40,40,36
40,40,40,36
52,68,24,68
36,48,16,48
36,40,40,36
40,44,48,36
32,48,28,36
40,44,28,44
36,36,24,40
36,48,40,32
36,48,44,52
28,40,28,20
16,48,16,24
40,48,16,52
32,40,36,12
36,12,20,36
12,8,12,12
12,16,12,12
56,36,24,68
40,48,52,40
40,48,48,40
64,52,44,48
68,36,28,36
40,36,28,48
36,36,44,36
24,36,20,36
40,44,36,40
36,48,48,36
20,40,24,16
12,16,16,12
12,12,20,12
36,12,24,32
20,48,16,24
36,40,16,32
8,40,12,16
40,36,52,36
36,68,20,52
36,52,52,52
36,40,44,36
12,44,40,12
40,60,44,48
36,48,24,48
36,48,32,32
32,40,40,40
36,36,20,40
24,48,48,24
32,40,20,16
12,40,20,16
64,48,36,48
24,48,28,24
40,40,32,36
12,12,16,12
60,40,44,52
28,36,28,32
36,44,16,36
48,44,20,44
16,48,20,52
36,40,40,36
28,40,40,36
28,48,48,28
40,44,40,40
12,16,12,12
12,12,20,12
36,36,24,28
16,44,20,16
32,48,36,36
36,48,40,52
40,44,40,44
36,52,12,52
64,48,52,52
36,44,36,16
24,16,16,16
36,48,48,32
12,48,20,48
56,48,12,52
24,48,24,28
