ventral_ventral
8
72
0
8
8
8
8
0
12
8
12
8
8
0
8
12
48
8
12
0
0
16
8
8
16
112
8
12
8
8
72
8
12
8
12
72
8
12
8
8
8
12
0
8
8
8
0
8
16
72
0
112
8
112
72
8
0
244
8
12
8
16
8
8
12
8
0
8
8
0
8
8
12
8
72
8
12
0
12
16
16
8
8
8
8
0
8
0
8
8
104
12
8
12
8
0
12
12
0
8
8
8
112
8
12
12
0
8
20
8
112
8
12
16
0
8
8
8
12
8
8
0
16
8
8
0
16
12
112
8
8
8
8
8
112
8
12
12
20
112
12
8
72
8
8
12
8
8
8
12
8
0
8
4
20
72
12
8
8
8
16
8
0
12
72
12
12
8
112
8
0
8
20
12
12
108
0
16
12
8
12
8
0
12
8
44
8
0
8
0
8
12
8
8
72
12
4
8
8
0
8
108
8
160
0
8
12
12
12
8
0
8
112
0
16
0
108
8
0
8
20
8
8
8
8
8
8
8
12
8
12
8
12
8
0
112
8
8
8
8
8
120
0
8
8
8
8
8
12
396
8
8
12
112
8
20
0
8
8
12
12
12
8
112
8
8
0
0
8
120
40
0
8
12
0
8
120
8
8
8
8
12
12
0
8
8
12
0
72
8
12
216
12
72
8
8
0
112
12
16
16
8
8
72
8
72
8
8
8
8
8
0
0
12
8
8
16
8
112
8
12
12
12
4
12
8
120
12
12
72
16
8
8
8
8
12
8
72
108
8
8
12
0
8
72
8
12
8
8
16
12
0
8
8
0
12
8
8
0
0
8
8
12
8
0
0
8
112
72
4
8
8
8
8
8
8
8
0
8
0
0
8
112
8
12
8
8
72
0
8
20
72
8
12
8
8
12
0
12
8
12
8
16
20
0
0
8
72
8
8
12
12
112
8
16
16
0
8
16
156
12
12
0
164
0
72
8
0
0
72
12
120
0
8
8
12
8
0
8
8
72
0
8
4
16
0
0
8
12
12
8
8
8
8
8
8
12
0
8
108
112
12
112
12
8
8
8
8
72
8
16
12
160
0
8
8
12
8
0
8
0
8
8
8
12
8
8
8
8
0
44
8
0
12
8
8
8
8
12
20
8
8
72
8
0
0
16
8
72
16
12
12
8
0
8
0
8
12
8
16
12
12
8
0
8
16
0
0
8
112
8
8
12
12
8
12
12
8
8
8
8
12
16
8
12
72
8
72
8
8
0
8
0
8
8
8
8
8
8
12
112
16
72
20
12
12
112
72
0
8
8
0
12
12
4
8
12
8
112
8
16
0
72
12
8
12
72
112
8
8
12
12
0
20
112
12
12
108
0
120
0
24
72
132
12
12
36
8
12
8
8
8
16
8
8
112
0
12
8
8
8
8
0
12
8
8
12
12
8
8
8
16
8
0
112
16
12
12
12
8
108
112
8
0
8
8
8
0
12
16
8
0
8
16
8
8
0
12
8
8
8
0
0
76
12
8
12
0
8
16
8
12
12
0
16
16
8
8
8
8
8
28
112
12
8
8
8
8
12
8
72
8
72
12
8
108
12
4
0
8
16
0
0
8
0
8
8
8
12
8
16
8
8
112
0
8
8
12
0
12
24
120
328
8
12
0
0
8
8
0
0
112
8
0
0
8
8
0
0
8
8
8
8
0
8
72
12
108
12
8
8
16
112
112
160
8
72
8
16
8
12
16
8
12
12
12
8
12
0
72
0
12
8
16
112
16
0
4
120
8
0
8
12
108
20
8
8
8
104
8
72
112
16
0
12
4
0
8
12
12
12
0
12
8
12
8
8
8
12
4
8
8
8
8
0
120
12
8
120
8
20
112
8
160
12
8
8
8
12
0
112
112
0
0
0
0
12
12
12
12
104
12
0
8
120
12
8
12
8
72
124
16
20
0
0
8
8
8
16
12
0
108
12
16
8
0
0
12
0
12
0
8
8
104
12
12
8
112
72
108
12
8
8
8
16
8
8
72
8
8
8
8
0
8
8
20
8
8
12
0
8
12
0
8
0
0
12
8
120
0
16
8
0
8
8
0
12
12
112
8
4
108
8
8
20
112
8
12
8
0
12
12
8
12
356
8
112
8
0
0
8
120
108
8
68
8
8
8
12
8
0
0
8
0
112
76
8
160
0
0
72
12
8
8
0
8
12
160
0
8
8
8
8
16
12
12
8
72
112
8
8
20
0
72
8
116
120
16
12
20
112
8
8
0
12
8
8
8
8
8
8
12
8
12
8
0
16
8
12
16
8
12
8
8
8
8
8
20
104
8
0
8
16
0
72
72
8
12
0
8
8
8
12
0
8
0
12
12
12
8
0
12
12
112
0
112
132
8
72
12
8
0
120
8
112
8
8
0
8
8
8
104
8
8
16
8
0
16
72
0
0
112
0
12
4
8
12
12
8
8
12
8
72
8
8
0
120
8
12
112
0
84
0
8
8
8
12
0
0
12
8
8
0
0
0
8
72
8
8
8
12
8
0
12
8
12
8
8
8
16
8
72
16
0
8
12
0
108
8
8
0
8
12
20
12
0
0
12
12
108
112
8
112
8
8
8
12
12
16
8
8
8
8
8
104
8
0
0
8
8
0
8
12
16
12
8
12
8
0
8
8
16
0
12
12
4
8
324
8
0
16
8
112
72
8
8
16
8
0
12
12
8
8
120
8
0
8
4
8
12
8
0
72
8
0
8
104
12
8
8
8
8
12
12
0
8
12
12
0
12
72
12
12
12
0
112
12
12
8
8
8
72
0
8
20
8
16
8
8
12
108
12
24
8
8
0
4
72
8
8
72
8
0
0
8
12
12
12
108
72
12
8
0
12
8
108
12
8
0
8
8
0
8
8
8
8
8
8
112
8
112
8
108
8
8
16
112
8
16
8
4
8
0
0
12
12
112
12
0
164
8
12
12
0
12
4
8
12
112
8
12
4
72
8
0
8
8
72
8
12
8
112
12
12
4
0
8
8
112
120
8
0
8
8
0
72
8
8
120
72
0
8
20
12
8
112
72
8
16
8
8
12
0
8
112
12
0
0
0
12
72
8
16
12
72
16
8
112
8
16
8
12
12
0
8
8
0
0
12
112
12
0
8
8
0
12
8
12
8
8
8
8
12
72
0
8
112
12
8
8
8
112
8
8
8
8
8
8
8
8
52
8
0
8
12
8
8
0
8
8
8
0
12
72
8
0
328
8
12
0
8
8
8
12
12
112
8
0
12
12
8
12
12
16
16
12
8
8
72
8
112
12
120
8
0
8
12
12
0
72
8
8
8
16
0
8
72
72
8
0
8
120
8
132
8
8
8
8
12
8
12
8
8
8
12
8
8
112
12
8
8
0
12
12
72
8
8
12
0
12
12
8
16
12
8
8
8
12
16
0
12
0
12
8
4
0
12
8
8
8
8
8
12
12
0
8
112
12
8
0
0
8
0
8
8
72
8
8
8
8
108
8
0
8
8
8
4
16
12
0
16
12
8
120
12
120
0
8
12
12
72
8
8
12
12
8
12
0
72
12
0
8
12
12
8
8
8
104
8
12
8
8
8
8
8
0
12
12
0
12
0
0
8
0
12
0
4
8
12
0
0
8
8
16
8
8
8
12
8
8
8
0
0
8
24
20
8
72
120
0
8
12
0
8
0
8
112
8
12
8
8
104
12
0
8
8
8
8
0
12
72
0
108
396
8
12
40
8
0
8
0
12
0
108
0
0
8
12
8
12
0
12
12
8
8
8
8
8
12
8
8
8
12
12
8
8
108
8
328
8
12
12
8
12
0
12
0
8
76
12
12
0
0
112
48
8
12
112
8
20
0
12
0
8
8
8
16
12
8
0
12
12
8
12
112
8
8
8
0
72
4
0
8
0
12
16
12
156
8
12
8
12
44
8
8
12
8
16
8
16
8
0
108
12
8
12
112
112
8
16
72
8
12
12
0
8
8
132
8
12
8
112
8
0
8
0
0
0
8
8
