,occipital
258,72
259,68
260,68
261,72
262,72
263,68
264,68
265,84
266,72
267,72
268,68
269,68
270,68
271,68
272,64
273,68
274,100
275,64
276,68
277,68
278,68
279,100
280,52
281,68
282,72
283,72
284,68
285,100
286,100
287,96
288,68
289,52
290,72
291,64
292,72
293,72
294,96
295,68
296,68
297,68
298,68
299,100
300,68
301,68
302,68
303,68
304,68
305,84
306,68
307,68
308,64
309,68
310,100
311,68
312,68
313,68
314,100
315,68
316,68
317,52
318,64
319,68
320,72
321,100
322,100
323,100
324,100
325,68
326,68
327,68
328,52
329,96
330,68
331,72
332,52
333,68
334,68
335,64
336,68
337,96
338,100
339,96
340,68
341,96
342,72
343,68
344,100
345,88
346,64
347,100
348,64
349,100
350,68
351,100
352,72
353,100
354,68
355,68
356,96
357,68
358,68
359,72
360,68
361,84
362,100
363,52
364,68
365,100
366,52
367,96
368,72
369,68
370,72
371,68
372,68
373,68
374,64
375,52
376,72
377,96
378,68
379,68
380,68
381,68
382,96
383,68
384,68
385,72
386,52
387,88
388,68
389,68
390,68
391,68
392,68
393,96
394,96
395,64
396,68
397,68
398,84
399,100
400,68
401,72
402,68
403,68
404,68
405,68
406,100
407,96
408,96
409,64
410,52
411,72
412,84
413,72
414,80
415,68
416,100
417,84
418,68
419,68
420,72
421,96
422,68
423,100
424,72
425,72
426,72
427,64
428,68
429,68
430,72
431,68
432,68
433,68
434,68
435,68
436,68
437,68
438,96
439,68
440,68
441,96
442,100
443,68
444,96
445,68
446,68
447,96
448,100
449,68
450,68
451,68
452,64
453,68
454,52
455,68
456,64
457,68
458,68
459,72
460,100
461,64
462,68
463,68
464,72
465,64
466,100
467,64
468,64
469,84
470,68
471,72
472,68
473,76
474,64
475,68
476,88
477,68
478,68
479,68
480,68
481,96
482,64
483,68
484,68
485,64
486,100
487,64
488,68
489,96
490,68
491,68
492,68
493,100
494,72
495,68
496,100
497,68
498,68
499,64
500,68
501,68
502,68
503,68
504,100
505,88
506,100
507,68
508,68
509,72
510,80
511,80
512,68
513,72
514,68
515,68
516,72
517,100
518,84
519,68
520,68
521,68
522,68
523,68
524,100
525,68
526,68
527,100
528,68
529,68
530,100
531,64
532,68
533,68
534,72
535,68
536,68
537,68
538,100
539,64
540,72
541,68
542,68
543,68
544,100
545,68
546,68
547,68
548,64
549,68
550,68
551,68
552,100
553,68
554,68
555,68
556,80
557,64
558,68
559,96
560,68
561,68
562,100
563,64
564,68
565,64
566,52
567,68
568,68
569,68
570,68
571,68
572,72
573,72
574,68
575,68
576,84
577,68
578,68
579,84
580,96
581,68
582,68
583,68
584,72
585,68
586,68
587,68
588,68
589,100
590,68
591,80
592,68
593,52
594,64
595,68
596,68
597,68
598,80
599,68
600,68
601,64
602,68
603,64
604,68
605,68
606,68
607,72
608,68
609,96
610,84
611,68
612,68
613,96
614,64
615,68
616,68
617,68
618,100
619,96
620,64
621,64
622,68
623,72
624,68
625,100
626,100
627,100
628,68
629,68
630,96
631,64
632,68
633,100
634,52
635,68
636,100
637,100
638,52
639,68
640,84
641,100
642,96
643,68
644,68
645,68
646,68
647,64
648,88
649,68
650,84
651,64
652,64
653,68
654,100
655,96
656,64
657,96
658,72
659,68
660,68
661,68
662,68
663,68
664,68
665,68
666,88
667,68
668,68
669,64
670,68
671,72
672,68
673,68
674,100
675,96
676,68
677,64
678,72
679,68
680,88
681,68
682,68
683,80
684,72
685,68
686,68
687,96
688,96
689,100
690,68
691,68
692,64
693,68
694,96
695,68
696,52
697,72
698,84
699,68
700,68
701,84
702,68
703,68
704,68
705,68
706,68
707,64
708,68
709,68
710,100
711,68
712,68
713,72
714,52
715,68
716,68
717,84
718,68
719,52
720,64
721,68
722,72
723,100
724,64
725,68
726,72
727,72
728,100
729,80
730,68
731,64
732,64
733,68
734,68
735,12
736,100
737,72
738,96
739,72
740,68
741,96
742,72
743,68
744,68
745,96
746,68
747,96
748,68
749,72
750,84
751,68
752,96
753,68
754,96
755,68
756,68
757,68
758,64
759,68
760,52
761,64
762,68
763,68
764,68
765,68
766,68
767,68
768,72
769,72
770,96
771,68
772,68
773,68
774,72
775,52
776,68
777,68
778,64
779,68
780,64
781,96
782,100
783,52
784,68
785,100
786,68
787,68
788,68
789,68
790,96
791,68
792,68
793,68
794,68
795,96
796,100
797,72
798,68
799,68
800,100
801,72
802,68
803,64
804,68
805,68
806,72
807,100
808,96
809,72
810,68
811,64
812,68
813,72
814,72
815,68
816,80
817,68
818,72
819,64
820,72
821,52
822,68
823,72
824,96
825,68
826,72
827,80
828,68
829,68
830,68
831,100
832,72
833,68
834,96
835,68
836,96
837,68
838,80
839,68
840,72
841,68
842,52
843,68
844,72
845,64
846,96
847,64
848,68
849,68
850,52
851,100
852,68
853,68
854,64
855,68
856,72
857,84
858,68
859,80
860,68
861,68
862,96
863,100
864,72
865,68
866,68
867,68
868,96
869,68
870,68
871,52
872,68
873,72
874,52
875,68
876,72
877,68
878,68
879,68
880,96
881,68
882,72
883,64
884,68
885,100
886,88
887,72
888,68
889,96
890,68
891,68
892,96
893,80
894,100
895,68
896,72
897,68
898,68
899,96
900,100
901,68
902,68
903,72
904,68
905,68
906,68
907,68
908,84
909,68
910,80
911,96
912,72
913,100
914,96
915,68
916,96
917,68
918,68
919,100
920,68
921,68
922,96
923,68
924,68
925,96
926,80
927,96
928,52
929,68
930,64
931,52
932,68
933,80
934,96
935,100
936,68
937,68
938,68
939,72
940,68
941,104
942,68
943,100
944,68
945,68
946,100
947,80
948,72
949,68
950,72
951,96
952,68
953,68
954,84
955,68
956,100
957,68
958,68
959,68
960,64
961,64
962,52
963,68
964,68
965,88
966,68
967,68
968,68
969,68
970,96
971,64
972,68
973,96
974,64
975,68
976,68
977,100
978,68
979,72
980,100
981,68
982,68
983,64
984,68
985,68
986,68
987,64
