ventral_occipital
128
108
0
8
128
8
8
0
16
128
8
128
108
44
44
12
48
8
20
0
112
128
12
8
0
120
16
16
128
8
108
16
0
8
112
16
128
16
68
12
16
16
0
16
16
8
0
8
16
128
44
112
48
108
112
8
8
116
16
48
16
112
12
16
44
332
16
8
128
0
8
8
12
8
20
8
16
232
116
16
20
72
16
12
8
8
12
8
112
8
84
16
16
112
16
0
72
120
0
120
8
8
16
8
112
12
116
8
16
112
16
128
116
128
116
8
8
8
8
8
12
8
16
8
8
12
112
16
108
8
8
108
16
8
116
0
16
128
16
120
48
112
28
8
16
112
8
8
16
16
8
0
8
8
16
112
128
16
8
8
16
16
16
128
20
16
236
16
112
8
128
8
16
72
112
108
0
12
8
16
108
8
16
128
8
52
8
0
8
8
128
124
8
16
76
16
0
8
112
0
8
48
8
108
8
8
16
108
12
8
0
16
128
0
0
8
48
16
8
8
16
16
8
8
8
8
8
8
112
8
12
16
120
0
0
128
8
16
128
0
128
44
8
16
16
108
8
8
8
116
48
0
128
44
320
16
8
8
8
128
16
120
8
20
8
8
8
8
8
120
20
8
8
16
16
48
116
8
8
16
12
120
108
8
8
8
8
8
108
8
112
20
108
84
8
8
8
112
16
20
16
16
72
152
8
120
8
8
108
8
0
8
88
108
8
8
16
8
108
8
108
116
128
8
16
8
120
128
128
128
16
8
8
8
8
156
8
120
84
8
8
16
0
72
108
8
128
8
8
16
16
8
8
16
32
16
8
8
16
0
8
8
16
8
128
112
16
20
108
8
8
8
128
8
8
16
16
0
236
16
72
8
108
8
168
128
8
16
8
8
16
104
16
0
16
12
128
12
16
8
16
12
112
20
0
76
8
20
8
8
12
16
160
8
120
128
16
8
8
16
8
16
8
112
44
128
16
16
8
112
16
108
44
8
12
108
16
16
16
8
16
8
8
16
16
0
16
120
12
152
8
8
8
8
8
52
8
8
12
16
116
72
108
108
8
8
12
44
16
8
12
12
16
72
8
8
160
8
8
8
12
8
8
8
16
8
8
116
8
112
52
8
8
16
8
8
8
8
120
16
8
12
48
16
0
0
16
8
108
16
16
124
16
0
16
0
8
128
8
16
16
16
8
8
16
16
44
0
8
128
8
16
16
120
12
128
8
8
16
8
8
128
16
8
112
16
12
120
44
8
16
8
0
112
76
8
16
8
16
16
44
16
128
16
16
112
112
128
16
8
16
16
120
16
0
8
16
8
112
8
16
8
108
16
116
128
16
112
72
8
108
16
8
16
116
108
116
16
0
108
116
112
120
44
8
128
72
16
12
8
8
8
104
16
112
16
32
116
12
8
8
8
0
112
0
8
116
72
16
8
8
128
8
8
128
16
112
120
128
8
108
84
8
8
72
8
16
0
12
108
128
8
16
16
8
8
0
16
8
8
8
0
40
100
116
16
128
0
16
108
8
16
16
8
8
16
8
8
8
8
8
16
88
236
8
8
16
8
112
8
116
16
84
128
8
108
8
8
72
8
16
112
0
128
8
8
8
128
128
8
16
8
8
108
20
128
8
8
0
116
20
108
128
44
128
8
8
12
12
0
44
104
8
8
16
8
8
8
0
8
240
12
8
8
8
128
120
104
108
8
8
16
16
128
116
12
120
8
20
12
128
112
8
72
128
16
8
44
16
112
8
48
52
16
108
16
112
8
128
8
0
8
52
108
44
12
108
8
48
52
128
108
116
48
112
72
16
8
72
112
72
0
112
8
128
8
8
8
128
8
8
8
8
8
128
128
48
8
128
16
16
128
8
108
112
8
16
8
120
16
108
16
128
0
8
16
16
128
8
16
52
0
128
8
116
128
0
16
8
84
48
112
20
72
0
0
128
8
20
108
0
108
128
16
128
0
0
120
112
48
0
16
16
112
44
128
128
44
28
108
128
8
16
8
112
8
8
52
8
8
8
8
0
8
12
16
8
8
12
112
16
116
0
8
0
0
52
8
104
8
16
16
8
0
16
112
44
16
128
16
16
104
128
8
20
44
48
116
8
8
16
120
128
112
16
16
116
8
0
8
8
128
112
8
12
48
8
8
12
128
128
236
8
8
112
104
112
16
8
0
128
120
12
8
8
16
156
132
0
8
116
8
8
16
16
128
16
116
20
8
8
152
0
108
8
128
112
20
112
16
44
8
8
20
108
108
8
8
8
112
12
128
8
48
0
16
16
8
116
168
16
8
8
8
12
16
12
112
48
12
8
8
