,dorsal
798,64
799,92
800,60
801,64
802,64
803,64
804,64
805,88
806,40
807,88
808,68
809,64
810,88
811,60
812,64
813,64
814,44
815,88
816,116
817,88
818,36
819,64
820,64
821,64
822,64
823,88
824,92
825,64
826,92
827,64
828,84
829,64
830,84
831,64
832,88
833,64
834,84
835,64
836,64
837,64
838,88
839,88
840,64
841,92
842,88
843,64
844,64
845,68
846,64
847,64
848,64
849,84
850,84
851,64
852,84
853,68
854,68
855,64
856,84
857,84
858,68
859,64
860,92
861,64
862,64
863,80
864,32
865,48
866,88
867,44
868,68
869,64
870,68
871,64
872,64
873,64
874,92
875,64
876,64
877,64
878,64
879,52
880,64
881,88
882,84
883,68
884,64
885,88
886,92
887,68
888,88
889,84
890,88
891,92
892,84
893,64
894,88
895,84
896,64
897,64
898,84
899,64
900,64
901,44
902,52
903,52
904,48
905,64
906,64
907,64
908,64
909,64
910,92
911,64
912,64
913,88
914,88
915,64
916,64
917,84
918,84
919,64
920,88
921,64
922,64
923,64
924,88
925,60
926,64
927,40
928,84
929,64
930,64
931,60
932,64
933,84
934,68
935,64
936,48
937,64
938,64
939,64
940,64
941,44
942,84
943,92
944,92
945,68
946,84
947,52
948,52
949,92
950,64
951,64
952,92
953,52
954,64
955,36
956,88
957,36
958,44
959,52
960,64
961,68
962,88
963,88
964,68
965,92
966,64
967,52
968,68
969,92
970,64
971,68
972,64
973,60
974,64
975,64
976,64
977,64
978,88
979,64
980,68
981,48
982,64
983,64
984,64
985,52
986,52
987,88
988,84
989,68
990,64
991,64
992,48
993,44
994,44
995,64
996,36
997,92
998,64
999,84
