,ventral
389,96
390,96
391,68
392,96
393,92
394,76
395,92
396,96
397,92
398,76
399,92
400,96
401,28
402,96
403,96
404,92
405,96
406,92
407,92
408,96
409,92
410,96
411,96
412,92
413,96
414,84
415,96
416,96
417,96
418,28
419,92
420,96
421,96
422,96
423,96
424,92
425,92
426,96
427,96
428,96
429,96
430,96
431,92
432,96
433,92
434,84
435,96
436,96
437,96
438,92
439,92
440,88
441,96
442,96
443,96
444,92
445,96
446,96
447,96
448,96
449,92
450,96
451,96
452,92
453,96
454,96
455,96
456,92
457,92
458,96
459,92
460,96
461,76
462,96
463,96
464,92
465,92
466,92
467,80
468,96
469,80
470,96
471,96
472,96
473,96
474,92
475,96
476,96
477,96
478,96
479,96
480,96
481,92
482,96
483,96
484,96
485,96
486,96
487,96
488,96
489,96
490,96
491,96
492,96
493,96
494,96
495,92
496,92
497,96
498,92
499,96
500,96
501,92
502,80
503,92
504,92
505,92
506,96
507,80
508,96
509,92
510,92
511,96
512,96
513,96
514,96
515,96
516,92
517,96
518,96
519,96
520,96
521,92
522,96
523,28
524,96
525,96
526,96
527,96
528,92
529,28
530,92
531,80
532,28
533,92
534,96
535,92
536,96
537,96
538,96
539,80
540,80
541,92
542,92
543,92
544,80
545,96
546,96
547,80
548,92
549,96
550,96
551,96
552,28
553,84
554,92
555,80
556,96
557,96
558,96
559,92
560,96
561,92
562,96
563,92
564,92
565,80
566,92
567,92
568,92
569,92
570,96
571,92
572,92
573,80
574,84
575,96
576,92
577,28
578,96
579,92
580,96
581,84
582,92
583,96
584,96
585,96
586,96
587,96
588,96
589,96
590,92
591,96
592,96
593,92
594,96
595,92
596,28
597,96
598,92
599,96
600,92
601,96
602,84
603,96
604,96
605,80
606,92
607,92
608,96
609,96
610,92
611,92
612,96
613,96
614,84
615,80
616,96
617,92
618,92
619,80
620,80
621,92
622,96
623,92
624,92
625,92
626,96
627,96
628,92
629,96
630,96
631,80
632,92
633,96
634,96
635,96
636,92
637,96
638,68
639,80
640,92
641,84
642,96
643,96
644,80
645,96
646,96
647,96
648,92
649,96
650,96
651,92
652,96
653,96
654,96
655,96
656,96
657,92
658,92
659,96
660,96
661,96
662,92
663,96
664,92
665,84
666,96
667,96
668,92
669,28
670,92
671,88
672,96
673,92
674,96
675,92
676,96
677,96
678,96
679,80
680,96
681,92
682,80
683,80
684,96
685,92
686,92
687,96
688,96
689,80
690,96
691,88
692,96
693,96
694,92
695,96
696,92
697,92
698,96
699,92
700,96
701,96
702,92
703,80
704,96
705,84
706,96
707,92
708,96
709,96
710,80
711,80
712,96
713,80
714,92
715,96
716,96
717,96
718,96
719,88
720,92
721,92
722,80
723,96
724,28
725,76
726,96
727,96
728,92
729,96
730,92
731,96
732,92
733,92
734,96
735,96
736,88
737,96
738,96
739,28
740,92
741,96
742,96
743,92
744,92
745,96
746,96
747,84
748,96
749,96
750,76
751,96
752,92
753,96
754,92
755,92
