dorsal_dorsal
76
76
112
28
76
76
80
76
76
76
76
76
72
76
76
76
76
80
28
76
76
76
24
76
28
76
80
76
76
76
76
8
28
76
24
28
76
28
80
72
76
76
76
28
68
16
164
76
80
24
76
76
76
8
80
76
76
80
72
76
80
80
76
72
80
24
132
72
76
76
80
184
80
72
24
76
80
28
24
112
28
72
72
72
68
76
72
4
76
76
72
8
80
76
76
28
80
68
0
76
80
76
76
76
76
76
76
76
4
76
80
76
76
80
72
76
8
76
76
16
76
76
80
28
76
76
80
72
32
76
76
76
76
116
76
76
24
76
76
76
76
76
76
80
76
80
72
0
76
76
72
76
72
80
24
24
76
76
76
76
80
0
72
76
76
20
28
72
80
76
80
76
12
76
76
76
28
76
80
76
72
76
80
72
72
76
76
28
76
80
68
76
76
76
80
72
76
0
76
72
76
76
76
76
76
68
76
76
76
76
24
76
76
0
24
76
80
8
24
76
24
76
76
80
80
72
76
76
76
76
76
80
76
76
72
76
80
76
72
24
80
76
76
76
24
28
76
76
76
80
72
72
72
160
76
80
76
76
76
76
24
24
164
28
76
72
72
80
24
20
76
24
76
28
24
72
80
76
76
76
76
76
76
76
28
76
104
8
76
76
72
76
76
4
80
164
64
76
72
28
28
76
76
72
76
76
80
76
76
76
64
76
80
76
76
0
28
20
76
4
76
76
76
76
76
76
16
76
76
76
28
80
76
72
76
28
76
76
28
72
24
28
0
12
76
76
80
76
76
76
0
192
72
76
80
76
76
72
4
76
80
76
80
76
20
76
24
76
76
76
76
76
80
76
76
76
76
76
76
80
72
8
80
76
72
72
76
80
72
76
20
76
76
76
72
76
76
28
32
76
76
76
76
20
76
116
76
76
4
76
76
76
76
80
28
76
76
72
80
76
24
28
76
76
68
76
76
164
76
24
80
76
168
72
76
76
160
80
72
0
76
72
76
80
80
0
24
76
76
76
76
0
72
76
76
76
76
80
76
76
76
72
76
72
76
72
28
16
76
76
80
76
76
80
80
76
80
80
76
76
24
0
196
76
76
76
72
76
72
76
76
76
76
76
76
76
80
76
76
76
76
76
76
76
24
0
8
76
76
28
76
76
72
24
76
28
132
72
76
28
76
12
76
76
80
76
24
76
76
76
76
16
76
72
76
76
76
76
76
72
72
76
80
72
72
24
76
28
76
72
24
76
72
76
76
72
76
76
76
76
80
28
0
76
76
76
80
76
80
76
76
76
76
76
60
20
76
72
80
72
76
76
76
76
76
76
72
80
76
72
28
24
76
16
80
68
72
28
20
76
24
76
76
76
76
72
76
76
76
76
