dorsal,ventral,occipital,frontal
36,96,100,36
32,92,100,36
16,24,100,12
56,28,28,12
32,96,48,12
64,96,68,36
116,92,28,12
88,100,60,28
92,96,64,12
32,88,28,12
104,8,64,160
64,92,96,64
92,96,96,12
84,92,64,172
32,96,100,100
92,96,100,64
36,64,72,160
48,80,28,136
76,28,64,100
60,32,28,168
92,96,64,168
64,92,64,64
120,96,64,156
32,96,64,16
64,76,64,64
104,96,100,12
84,80,72,144
80,80,64,164
32,136,100,16
88,28,64,168
48,92,96,64
48,76,56,164
48,68,64,12
60,92,64,64
16,76,64,12
32,8,64,8
20,96,100,136
52,92,56,8
84,88,96,120
32,4,100,64
32,76,56,12
64,92,64,12
52,76,28,12
64,8,64,168
48,64,52,36
40,96,100,64
176,8,16,0
52,96,60,40
160,96,64,172
48,96,100,64
92,96,100,136
32,76,68,72
84,88,28,112
92,92,100,12
92,96,72,156
132,96,100,68
80,8,72,168
80,88,72,160
36,56,40,12
92,96,96,168
48,96,100,8
80,80,88,12
32,28,56,64
12,136,48,64
80,96,64,168
12,96,68,12
92,96,96,164
48,88,96,12
148,136,128,12
48,28,28,12
44,88,28,168
148,144,68,0
148,140,104,16
44,68,28,64
32,24,64,12
92,144,56,172
48,88,96,12
84,28,28,160
20,96,100,160
88,92,28,12
32,76,64,64
48,68,28,12
64,84,28,100
116,140,60,64
36,64,96,132
32,96,96,64
32,96,64,64
144,148,52,12
80,80,72,168
20,80,56,64
52,68,56,64
36,68,28,156
40,88,28,168
92,92,96,156
160,148,60,12
80,24,96,12
36,92,96,12
64,96,60,64
36,20,64,8
20,96,72,8
80,88,68,172
8,8,64,16
92,96,64,64
32,96,64,132
104,96,100,112
92,96,64,168
80,88,64,168
92,96,64,168
40,96,64,12
148,96,72,140
160,96,68,12
60,92,64,12
20,96,64,12
80,76,100,168
88,76,64,64
44,84,28,168
52,88,96,12
64,4,0,0
92,8,64,168
16,88,64,132
32,92,64,64
56,24,28,12
120,96,96,12
92,112,28,168
32,64,28,160
48,92,96,172
84,92,68,12
64,64,60,64
80,76,64,12
36,96,56,164
32,88,28,160
36,92,96,64
120,96,12,8
36,96,100,4
116,136,64,12
148,28,68,12
8,28,28,12
160,96,128,12
164,96,64,168
112,92,100,64
92,96,96,172
64,84,80,168
64,12,64,64
80,88,28,156
80,76,64,164
36,96,100,12
32,28,32,64
8,124,28,160
64,76,56,64
80,88,72,0
64,76,60,64
44,32,64,36
36,76,32,60
48,96,64,12
32,28,28,160
8,28,64,12
64,8,100,168
84,88,64,164
32,112,64,156
92,96,96,12
144,108,68,12
48,96,60,12
64,64,60,160
64,76,100,68
64,76,64,168
40,96,100,168
36,76,64,168
48,88,64,36
92,96,96,36
48,24,64,12
160,96,100,64
48,88,28,132
116,12,64,8
20,76,64,164
104,96,100,12
28,88,100,156
144,24,52,16
36,96,28,64
120,92,28,12
84,80,64,12
32,76,64,36
84,80,28,136
80,32,68,12
92,96,64,36
32,64,28,116
84,88,72,156
64,64,96,120
88,88,64,168
92,96,96,136
148,96,64,12
64,96,100,36
80,92,100,12
48,96,64,12
160,96,64,168
36,96,100,12
52,96,56,12
12,140,60,16
116,28,60,36
36,96,64,132
64,76,64,164
80,84,28,64
64,96,72,112
64,96,64,64
32,96,64,168
60,96,96,132
64,64,84,68
48,96,68,12
32,136,64,156
84,76,64,156
48,96,64,144
16,32,72,64
84,80,28,168
116,92,96,172
36,32,28,36
80,28,100,12
88,96,96,116
84,88,72,168
84,96,64,64
20,28,100,36
88,28,56,164
92,96,28,216
48,96,64,12
92,96,64,64
148,92,128,12
80,88,96,136
36,96,100,64
16,136,64,12
32,116,60,164
52,88,56,12
92,96,96,168
92,96,96,156
80,84,72,8
116,92,100,12
48,84,52,116
20,24,56,64
112,92,100,12
92,96,80,144
48,92,64,64
32,88,72,64
20,24,12,4
148,92,96,168
160,96,64,64
84,96,100,136
36,88,64,64
48,88,64,8
48,92,96,36
64,96,64,168
64,28,56,64
64,76,28,164
48,96,72,64
80,72,64,160
48,68,28,12
32,96,100,64
92,96,96,156
32,80,64,36
92,76,64,64
64,96,64,172
32,96,28,12
160,96,68,12
80,88,64,164
80,28,28,100
88,104,60,156
148,140,120,12
88,96,52,16
32,92,64,64
64,88,100,36
8,96,60,12
80,76,28,168
44,96,72,12
172,8,104,12
92,96,72,12
8,32,64,12
84,96,68,64
144,96,68,16
84,76,64,172
32,92,52,64
148,96,72,12
48,88,64,64
32,76,28,160
48,96,48,12
64,92,96,64
152,112,64,64
48,96,68,12
44,64,72,64
16,28,56,16
28,96,100,12
84,80,80,168
84,88,28,120
108,92,12,12
44,88,72,116
20,96,100,12
84,76,64,12
48,92,96,92
16,8,64,156
124,96,96,60
136,116,68,12
52,96,60,12
92,96,96,68
64,80,56,64
32,76,28,64
32,76,32,12
168,96,64,64
32,88,56,16
16,76,64,64
80,28,28,164
64,76,84,100
84,76,28,156
80,84,28,156
132,96,100,168
92,88,24,0
48,44,60,12
16,32,56,16
92,96,96,16
36,96,64,160
64,96,64,64
64,24,64,64
64,76,64,64
16,88,28,36
80,88,64,168
36,76,28,156
92,92,100,160
32,92,64,8
32,92,100,112
116,96,100,168
80,132,64,172
32,88,24,156
160,96,104,12
32,92,100,12
32,92,64,64
92,8,12,168
36,8,28,168
120,116,92,172
80,88,96,144
32,136,56,16
48,76,60,156
12,76,52,156
92,112,60,168
20,8,64,156
80,28,96,156
32,44,48,64
80,92,72,160
64,76,52,64
84,76,64,64
36,0,60,64
64,76,72,168
64,84,64,64
32,96,100,16
64,112,60,168
136,96,64,12
72,76,28,156
36,64,52,160
8,96,28,12
32,92,100,112
48,76,64,36
32,92,100,16
36,76,56,64
64,76,56,60
48,96,56,168
32,80,48,64
80,76,28,168
160,112,64,168
52,96,100,12
80,84,72,168
32,88,56,64
32,96,100,16
48,92,96,64
36,96,64,36
48,96,52,12
68,96,64,156
44,88,64,132
152,96,64,156
32,112,28,64
120,92,96,64
36,92,28,132
80,96,64,168
80,68,28,168
88,92,64,16
32,28,28,28
48,96,64,168
84,96,72,36
88,80,60,16
92,0,24,136
164,92,100,12
48,96,64,164
64,92,100,64
32,88,56,64
12,76,64,156
36,88,64,12
48,36,56,172
32,96,96,64
40,12,64,168
32,8,64,168
64,92,64,12
84,96,64,12
36,80,56,136
120,140,100,64
120,96,64,64
92,136,64,184
48,88,48,12
20,28,28,0
36,96,64,36
32,92,100,32
48,28,28,12
36,92,64,168
64,28,28,160
52,96,96,12
80,76,28,164
84,76,64,60
8,0,64,156
48,28,64,12
92,96,100,168
120,96,100,36
48,88,28,12
84,84,28,60
72,76,28,156
32,76,64,64
84,80,64,64
32,96,96,64
160,96,68,168
84,96,52,64
16,96,68,12
92,148,64,16
32,92,96,64
160,96,64,168
48,96,72,64
64,92,64,64
56,96,60,64
160,96,72,12
8,96,64,12
20,92,80,100
84,84,28,12
64,96,64,12
160,100,100,16
32,84,28,64
32,76,64,160
116,96,96,160
92,96,96,12
88,96,64,16
48,64,96,12
64,28,28,160
68,76,64,60
20,24,60,136
116,112,100,64
84,88,64,172
152,96,64,12
32,28,28,0
144,96,100,12
64,88,64,164
68,112,68,160
32,8,60,164
32,88,100,156
64,4,84,36
148,136,60,64
20,136,60,12
64,96,96,64
92,96,64,168
80,88,24,160
32,96,28,64
92,96,72,168
92,140,60,168
84,92,64,64
28,92,100,68
148,96,100,36
104,96,64,12
88,92,96,168
16,136,60,12
44,116,52,156
8,96,68,12
36,92,52,8
56,64,56,64
40,96,28,16
92,136,64,152
48,148,52,64
40,96,72,156
36,124,96,12
80,0,64,156
32,92,100,64
64,84,88,64
84,76,72,144
84,76,64,64
92,28,28,172
36,68,28,160
20,100,68,12
84,76,28,160
160,96,60,164
104,96,100,116
64,84,56,64
84,96,64,64
48,64,52,64
32,76,100,96
64,88,64,168
52,88,64,12
88,92,96,64
88,92,64,168
32,96,60,36
64,64,60,100
84,84,88,168
36,88,64,64
32,92,100,156
36,60,32,168
32,80,28,60
116,116,96,64
92,8,80,160
80,80,64,64
20,28,100,12
20,20,60,36
40,88,28,64
148,96,68,12
160,92,100,12
84,96,72,16
68,84,68,64
92,112,120,16
48,96,72,12
80,76,68,100
36,96,64,64
48,28,28,12
92,96,96,136
48,92,64,100
32,28,28,0
36,136,64,16
144,136,64,64
80,76,64,156
160,96,64,12
60,96,56,16
84,96,68,12
84,76,64,156
48,96,96,12
64,28,64,92
156,96,64,172
160,96,64,12
92,96,100,12
148,96,72,12
64,92,56,168
80,92,64,100
32,140,96,132
80,88,64,12
64,88,28,164
36,96,96,168
64,76,60,64
48,96,96,64
116,112,60,64
32,96,64,164
84,88,72,12
32,64,60,36
64,96,64,36
48,96,100,8
84,96,68,64
72,12,100,160
36,96,100,168
52,96,96,64
132,96,68,12
80,12,64,168
32,88,60,136
120,96,96,64
48,64,64,100
80,64,64,64
64,92,88,172
156,140,60,12
64,76,28,64
108,96,100,12
120,92,100,172
80,28,28,156
48,96,64,64
64,12,64,168
64,84,68,64
80,96,96,12
80,92,72,12
32,92,100,12
88,96,64,16
36,88,28,132
148,136,20,12
92,96,64,172
80,88,72,64
92,96,64,168
80,84,28,12
0,28,28,12
64,96,64,172
88,96,96,64
92,96,68,160
36,88,28,64
48,92,64,168
32,136,28,16
92,92,100,168
80,96,72,156
84,84,64,64
160,12,64,164
32,8,56,164
92,96,92,64
80,88,72,0
92,96,56,168
132,96,72,12
80,28,64,164
48,96,64,12
84,76,64,168
76,88,72,144
48,96,100,12
32,76,64,36
40,92,64,168
196,24,72,12
48,76,64,12
20,8,12,16
32,76,84,160
116,12,64,64
160,96,64,64
64,88,96,160
108,92,100,64
32,92,100,8
120,96,100,12
48,76,64,156
60,132,64,64
148,112,64,164
64,68,32,160
32,92,64,160
84,92,64,172
32,92,100,12
84,76,64,64
84,80,64,16
20,76,72,132
36,96,56,60
36,88,28,132
64,0,64,168
88,92,100,36
48,92,64,12
104,92,84,168
84,88,72,0
32,96,64,64
20,8,100,160
92,96,96,132
172,96,64,64
64,96,64,172
80,28,28,156
80,80,64,164
144,96,100,0
48,92,80,64
92,96,96,64
144,96,28,12
80,76,68,168
120,96,100,64
160,92,100,16
32,88,28,64
64,68,56,64
32,28,100,16
60,96,60,64
8,4,4,16
84,88,28,168
36,112,60,64
64,88,28,168
16,96,72,36
32,96,100,156
92,92,100,160
32,88,100,64
56,136,56,16
36,96,64,36
84,88,28,36
80,96,72,164
36,0,64,40
84,96,64,12
16,96,64,8
32,96,56,64
52,96,64,36
48,96,64,12
84,92,28,0
48,76,28,12
32,8,64,168
16,8,64,164
56,88,28,12
92,92,100,156
92,96,64,172
64,96,60,64
48,92,64,168
88,96,64,64
80,76,68,12
64,8,28,156
92,0,72,12
40,96,28,36
116,92,64,12
8,24,24,12
80,28,28,160
64,76,64,164
80,88,64,168
32,112,60,64
32,20,12,64
92,96,64,12
32,76,100,160
32,28,28,64
8,0,64,8
48,64,56,12
32,96,28,64
80,72,28,160
48,76,28,168
48,92,100,12
84,96,68,152
40,96,68,12
64,88,64,64
64,64,60,168
92,92,96,96
80,80,68,168
48,96,96,132
84,96,64,64
92,96,68,168
80,96,64,168
92,96,64,36
48,96,64,132
160,8,64,12
80,28,28,156
80,76,64,160
48,28,28,64
48,92,96,12
116,96,96,156
92,96,96,136
84,80,28,12
48,96,64,64
64,64,60,36
92,92,68,168
80,96,64,168
32,92,100,12
84,80,24,32
32,96,100,64
80,24,64,12
16,76,56,12
16,8,12,156
160,96,64,168
160,152,64,12
48,92,88,12
92,96,100,64
84,80,56,64
32,64,56,164
92,96,64,64
32,96,100,132
80,76,84,160
92,0,124,16
132,96,100,168
64,84,56,172
32,28,28,64
84,88,96,64
44,88,28,0
84,88,28,12
32,28,64,36
84,92,100,168
36,136,48,164
48,84,28,12
148,148,60,12
80,96,56,12
8,96,12,12
64,68,64,64
80,84,68,64
64,88,64,16
92,136,56,168
160,8,68,12
48,96,56,164
16,28,64,12
48,96,64,8
92,96,132,16
64,92,100,12
80,80,68,68
124,96,96,156
32,148,64,16
148,96,100,12
68,72,64,160
116,96,96,64
80,88,64,164
84,76,100,156
56,124,56,12
120,96,100,16
36,96,64,64
84,76,64,64
84,96,64,156
132,96,100,160
16,12,64,12
112,96,72,12
56,24,56,64
132,72,64,164
60,88,72,12
92,92,68,168
132,96,104,160
80,80,64,172
92,96,80,156
36,68,28,60
116,96,100,160
116,96,64,144
64,0,64,168
144,96,100,64
64,16,64,64
92,96,64,160
92,92,100,168
20,88,72,64
64,68,64,168
32,92,100,156
72,76,96,160
80,88,96,12
92,92,72,156
48,92,96,168
92,96,96,12
92,64,64,64
160,96,64,64
32,84,28,12
16,0,64,156
60,4,60,64
104,96,100,68
32,96,48,64
120,96,96,144
12,96,100,12
48,96,68,12
148,140,64,0
64,8,64,16
32,96,64,64
16,0,28,100
64,92,84,64
28,92,28,36
80,28,28,60
48,96,64,4
24,96,96,64
92,8,56,164
64,84,64,144
80,88,100,168
116,156,132,16
64,112,100,68
32,96,96,132
36,92,64,12
20,80,68,12
36,8,56,164
116,96,100,12
32,64,72,156
92,12,64,160
132,96,100,12
92,96,100,168
64,96,56,64
32,96,28,64
48,96,100,12
40,96,28,12
52,96,96,12
148,140,68,12
40,96,100,16
20,32,56,168
48,96,64,168
52,96,52,64
80,64,56,100
92,96,100,64
80,76,64,160
68,76,60,64
64,44,60,64
48,76,96,36
32,8,64,96
52,92,64,12
168,96,100,12
116,92,64,172
12,76,28,12
64,8,8,64
48,96,96,12
64,12,64,168
64,12,64,160
32,76,28,160
32,76,28,156
64,76,84,100
16,8,12,12
64,96,64,168
152,92,72,12
32,116,28,64
80,76,28,12
88,96,64,12
52,24,80,16
116,92,96,168
64,8,56,168
44,96,72,168
36,92,64,12
84,76,64,168
52,24,56,12
148,136,100,64
32,80,28,32
64,92,96,68
32,28,28,12
16,76,28,12
84,96,100,64
64,76,96,36
64,8,72,108
84,92,68,16
108,92,96,100
92,136,96,196
36,92,100,8
160,136,64,12
116,92,96,16
64,8,64,168
80,88,64,12
144,140,68,136
92,96,64,12
68,88,28,64
48,64,28,64
64,96,64,64
92,96,64,64
32,76,28,12
48,96,64,12
32,88,28,116
48,88,72,12
16,136,60,64
120,136,100,64
32,76,40,156
92,96,92,64
92,96,96,156
92,96,96,160
84,76,64,168
64,96,56,64
136,96,100,12
48,76,28,36
64,76,64,64
16,8,64,36
16,32,48,16
84,8,72,156
68,68,28,64
48,92,64,12
36,8,72,64
172,12,68,4
48,96,64,36
20,88,80,168
104,24,64,64
64,84,64,100
20,32,72,16
12,96,68,12
84,8,72,160
160,96,124,12
48,92,24,12
88,96,96,64
64,72,68,160
36,92,32,12
8,76,28,160
36,76,28,164
44,96,72,64
48,96,96,112
64,76,68,168
84,28,24,0
48,28,28,12
148,92,28,168
80,8,72,12
48,96,100,8
48,72,64,100
84,96,64,64
48,64,56,64
92,96,100,64
32,92,60,36
84,28,28,56
84,0,60,100
92,96,64,64
148,96,100,16
64,96,64,100
20,92,96,132
32,4,40,64
104,104,100,64
32,76,28,64
16,4,20,132
152,96,64,168
24,96,76,112
36,96,100,16
48,92,84,36
64,88,64,64
80,28,64,96
64,76,64,164
64,76,64,12
84,80,72,136
160,148,64,12
148,28,64,16
84,76,28,36
64,76,64,168
88,96,64,12
80,84,72,156
36,84,28,64
16,28,48,32
116,96,28,12
32,8,64,156
64,8,64,164
12,148,56,16
60,84,28,64
48,96,100,12
36,88,28,64
80,28,64,156
160,8,100,12
84,84,68,64
32,96,64,64
88,92,56,168
32,8,100,156
92,96,96,168
36,80,68,64
92,96,64,64
36,8,64,64
80,88,72,144
32,88,64,160
36,8,60,168
160,96,100,16
36,76,28,156
48,76,28,12
32,96,64,12
64,96,64,64
144,144,100,172
64,136,60,64
48,76,28,132
52,96,64,12
20,92,100,160
8,28,64,160
80,88,96,0
92,96,96,12
24,0,72,116
160,100,72,160
