,dorsal
0,40
1,40
2,44
3,40
4,44
5,44
6,40
7,44
8,44
9,44
10,40
11,40
12,44
13,40
14,40
15,40
16,40
17,40
18,40
19,40
20,40
21,40
22,44
23,44
24,40
25,44
26,44
27,40
28,44
29,44
30,40
31,40
32,44
33,40
34,40
35,40
36,40
37,44
38,40
39,40
40,40
41,40
42,40
43,44
44,44
45,40
46,44
47,40
48,40
49,40
50,40
51,44
52,40
53,44
54,44
55,44
56,44
57,44
58,44
59,44
60,44
61,40
62,44
63,44
64,40
65,40
66,40
67,40
68,40
69,40
70,40
71,40
72,40
73,44
74,40
75,40
76,44
77,40
78,44
79,40
80,40
81,40
82,44
83,40
84,44
85,40
86,40
87,40
88,40
89,40
90,44
91,40
92,40
93,40
94,44
95,44
96,40
97,40
98,40
99,44
100,44
101,40
102,44
103,40
104,44
105,44
106,40
107,44
108,44
109,40
110,40
111,44
112,40
113,40
114,44
115,40
116,44
117,40
118,40
119,40
120,40
121,40
122,40
123,40
124,40
125,44
126,40
127,40
128,40
129,44
130,44
131,44
132,40
133,44
134,40
135,40
136,44
137,40
138,44
139,44
140,44
141,40
142,44
143,40
144,40
145,40
146,40
147,40
148,44
149,40
150,40
151,44
152,44
153,44
154,40
155,44
156,44
157,44
158,40
159,44
160,40
161,44
162,48
163,40
164,40
165,40
166,40
167,40
168,40
169,40
170,44
171,44
172,40
173,44
174,40
175,44
176,40
177,44
178,44
179,40
180,40
181,40
182,40
183,40
184,40
185,44
186,44
187,44
188,44
189,44
190,40
191,44
192,40
193,44
194,40
195,40
196,44
197,40
198,40
199,44
200,44
201,44
202,40
203,40
204,44
205,40
206,40
207,44
208,44
209,40
210,44
211,40
212,44
213,44
214,40
215,44
216,40
217,40
218,44
219,40
220,40
221,44
222,44
223,40
224,40
225,44
226,44
227,40
228,44
229,40
230,40
231,40
232,40
233,40
234,40
235,40
236,40
237,40
238,44
239,44
240,40
241,40
242,44
243,40
244,40
245,40
246,40
247,40
248,40
249,40
250,44
251,44
252,44
253,44
254,44
255,40
256,40
257,40
258,44
259,44
260,44
261,44
262,40
263,40
264,40
265,44
266,44
267,44
268,40
269,40
270,44
271,44
272,40
273,44
274,40
275,44
276,40
277,44
278,44
