ventral_partial_brain
28
72
12
28
72
8
96
12
116
76
16
76
12
112
76
28
24
8
96
12
8
124
112
8
16
84
116
76
28
28
112
120
20
112
24
28
72
120
72
56
28
12
72
16
28
116
8
8
52
28
52
24
96
84
28
76
112
132
28
52
116
24
72
72
124
208
28
112
72
12
76
8
76
116
20
52
76
28
116
112
24
116
12
52
92
28
8
28
76
68
24
96
76
72
76
16
72
24
20
72
8
8
16
72
112
28
24
8
56
112
16
8
124
20
52
112
12
8
8
8
72
24
116
28
8
76
120
52
24
8
8
72
112
132
112
12
76
8
16
24
12
12
76
76
12
112
52
72
24
112
12
24
8
72
20
28
12
72
12
12
76
56
52
24
12
116
28
12
24
16
124
12
112
72
116
24
24
72
116
116
12
8
24
116
112
56
8
20
76
28
120
24
12
12
112
120
8
116
72
16
76
20
8
24
8
52
120
76
72
12
28
124
80
56
20
8
76
52
72
8
20
12
8
8
8
112
76
72
116
12
76
120
96
16
16
124
72
12
116
116
12
56
116
72
116
28
12
28
8
124
112
16
92
76
120
20
8
72
8
124
24
116
8
28
76
116
12
20
72
24
24
120
76
24
20
52
76
8
72
28
76
80
112
8
12
72
8
8
112
72
28
76
96
28
8
72
116
116
76
20
24
12
28
28
20
24
8
76
76
8
16
28
24
24
12
24
20
8
112
72
112
76
76
96
12
8
76
72
76
28
20
76
76
80
16
124
112
20
20
76
96
24
28
76
20
76
76
12
116
16
52
72
112
8
8
76
8
120
28
16
12
116
204
8
28
76
20
20
72
116
8
76
76
104
12
20
76
16
124
48
28
8
84
12
12
76
28
28
24
72
20
24
12
28
28
76
120
20
76
8
120
24
20
24
12
28
112
28
12
12
8
76
124
72
20
24
28
8
12
52
116
28
8
116
116
52
116
28
28
28
28
12
16
8
24
96
72
8
112
16
52
8
112
12
124
8
28
76
76
120
116
56
12
24
8
112
8
28
52
16
24
96
76
116
12
76
24
124
28
24
28
72
20
28
72
112
76
8
48
72
20
116
8
12
8
76
116
8
72
28
52
8
72
12
8
12
28
76
112
24
8
72
24
24
20
20
76
12
24
28
12
116
112
16
76
28
8
120
12
28
12
112
12
8
124
52
28
8
12
28
12
124
16
116
72
124
120
72
12
76
116
116
112
116
16
80
116
24
116
92
116
12
8
76
28
84
76
8
12
12
124
20
24
16
12
112
84
76
28
16
8
28
76
28
76
76
24
12
112
12
12
8
76
76
52
8
12
24
76
8
28
20
24
120
76
112
116
28
16
16
28
116
76
124
8
120
28
116
12
8
12
16
116
8
116
24
28
100
72
12
52
8
28
112
12
72
28
72
20
8
76
124
12
72
76
124
16
116
76
76
76
24
76
72
76
116
76
60
76
8
208
28
124
20
96
8
20
12
8
12
8
8
28
24
116
112
76
20
112
112
72
116
16
12
8
124
8
12
12
8
72
20
24
148
76
8
32
8
124
12
28
120
24
76
52
96
12
112
112
8
12
20
116
116
76
120
68
120
76
8
28
116
8
24
20
116
8
8
12
76
20
16
124
120
52
28
28
84
72
96
8
20
32
24
76
76
112
24
8
28
76
72
12
28
12
56
24
72
12
12
120
116
8
124
132
96
28
8
20
76
120
28
116
88
28
28
76
28
28
24
20
76
28
116
76
24
104
24
116
12
8
124
56
76
84
72
16
12
24
212
56
76
112
28
76
28
120
76
76
72
112
76
116
8
76
112
96
8
116
8
12
112
16
12
116
76
76
72
28
72
20
12
56
20
84
8
12
76
120
28
24
16
28
20
8
24
28
84
12
76
24
28
20
124
124
124
12
12
120
20
20
28
20
20
116
8
8
76
24
112
16
76
28
76
28
20
20
76
28
76
12
120
12
12
20
28
116
28
28
24
28
8
12
12
24
76
76
52
8
76
8
112
28
116
76
28
28
8
76
12
72
120
24
8
12
72
56
8
120
56
12
8
72
24
116
28
120
72
28
120
56
76
28
12
24
72
28
20
8
76
76
12
116
88
76
120
76
8
20
116
72
24
24
72
56
88
72
8
8
56
28
56
12
16
76
24
56
12
20
20
52
116
76
112
8
76
76
12
12
8
84
124
116
16
52
120
28
72
24
72
8
120
76
72
8
28
76
24
24
76
76
12
8
28
76
72
8
72
52
72
72
116
72
52
8
24
28
12
16
12
124
8
116
72
72
72
72
20
20
76
72
72
76
24
56
20
124
116
12
116
72
8
12
24
12
16
160
12
52
76
28
24
12
112
24
24
20
96
28
52
8
28
116
116
24
12
24
24
12
76
72
16
8
72
8
12
28
20
76
12
28
112
28
96
76
72
76
124
12
28
76
28
24
28
72
24
96
16
116
24
116
96
24
120
16
120
24
24
72
8
12
76
12
72
28
8
20
8
116
84
88
8
24
76
8
124
76
8
116
76
8
24
16
28
12
76
28
12
8
112
12
8
76
20
12
20
12
16
76
24
96
8
24
112
12
116
76
8
24
96
12
76
72
120
12
52
112
68
12
8
12
120
12
16
16
52
8
12
76
116
8
112
24
24
52
72
120
76
72
24
112
52
24
28
20
72
24
8
24
120
20
8
12
24
8
112
112
28
8
76
72
16
24
12
24
12
76
28
120
112
76
8
76
124
20
8
28
8
24
16
120
12
8
12
24
28
12
24
52
72
24
16
76
8
24
8
28
72
8
20
20
84
16
12
8
28
16
52
24
16
112
8
20
52
8
76
72
28
52
80
120
116
8
8
16
24
120
12
20
28
96
12
12
8
8
8
8
8
76
28
76
12
20
72
72
8
76
120
16
8
12
12
52
28
76
16
12
116
76
56
16
72
52
52
76
8
116
124
80
8
12
76
20
28
12
12
116
20
124
76
8
24
76
76
72
116
96
72
72
116
72
12
116
8
20
28
116
12
20
76
76
76
24
28
52
116
20
28
96
120
8
28
52
76
24
24
76
24
24
124
28
52
8
24
76
12
12
16
8
76
112
76
24
52
100
12
8
116
16
76
28
28
8
96
28
84
72
124
12
24
8
8
116
24
76
16
20
116
12
76
8
20
72
116
16
72
72
88
28
120
92
8
72
72
72
116
76
20
120
76
8
12
116
76
12
52
24
8
72
72
72
208
12
12
76
12
12
76
76
16
24
52
120
8
24
28
72
16
112
76
76
120
20
52
8
76
116
28
8
72
112
8
72
20
76
16
28
24
8
24
116
16
24
112
52
8
120
8
68
120
76
116
8
8
12
12
76
76
28
76
72
28
8
116
76
8
52
16
72
112
20
24
12
124
76
52
12
76
124
116
28
28
12
28
24
12
8
8
12
8
120
76
12
8
12
72
76
120
96
8
120
28
24
28
72
76
96
76
72
8
24
72
12
8
112
28
72
28
100
24
116
76
12
24
112
28
112
116
76
28
16
88
28
28
32
76
96
28
20
76
76
24
8
96
8
76
120
24
8
8
12
76
132
8
96
16
84
12
76
12
28
48
12
28
52
76
120
28
120
72
112
8
116
16
12
8
16
116
112
28
76
124
28
112
28
16
72
52
28
16
12
12
12
24
24
16
124
112
112
116
72
12
8
8
12
20
8
8
24
16
28
16
76
24
12
12
76
8
12
8
28
120
76
28
20
76
28
12
16
76
116
12
116
12
12
28
76
120
116
12
8
28
120
20
76
72
84
8
24
96
68
112
76
116
28
12
72
28
24
76
12
8
96
124
20
72
12
24
8
56
28
116
24
80
12
120
76
8
120
8
96
112
16
84
76
56
8
16
8
28
12
20
68
28
120
72
124
28
8
28
8
76
84
76
12
8
8
20
8
76
112
24
24
76
12
104
20
52
72
112
72
76
12
16
12
120
28
124
120
76
28
24
76
28
76
96
24
28
116
8
56
72
112
28
76
120
28
28
72
12
8
12
8
28
20
8
24
28
24
28
24
28
16
108
24
20
56
24
84
124
12
