dorsal,ventral,occipital,frontal
92,136,52,112
40,84,48,160
28,28,76,108
40,92,48,132
32,92,100,104
48,80,80,12
36,92,64,168
64,28,28,96
52,96,48,64
64,80,64,164
36,76,64,60
8,0,4,160
48,28,72,4
92,96,100,128
120,100,100,132
52,88,80,96
84,84,72,132
76,76,72,96
32,92,64,64
84,80,12,64
28,100,100,120
148,96,68,164
84,96,64,60
132,100,100,132
92,148,52,16
32,92,88,96
164,96,68,168
48,96,68,116
64,92,64,60
84,88,68,64
40,100,96,132
8,136,64,8
92,96,80,96
84,84,88,104
64,96,64,104
96,100,100,16
32,84,60,36
28,80,84,96
116,96,100,132
92,96,92,112
88,96,96,132
48,64,84,72
64,24,28,164
68,80,48,64
52,24,60,100
64,96,96,104
84,88,68,168
60,96,68,8
8,24,64,108
144,96,100,12
64,92,60,108
68,96,72,164
32,4,4,100
32,88,100,108
28,4,8,96
64,136,60,168
56,120,60,132
64,96,84,104
64,96,64,168
80,80,96,96
32,96,92,116
92,96,72,168
64,140,52,164
84,92,96,64
28,96,100,112
92,96,100,136
92,96,72,12
88,92,96,164
32,120,72,132
40,76,52,112
8,96,72,8
36,60,12,64
56,136,56,100
36,96,92,28
32,100,64,132
92,148,48,164
36,136,100,128
32,120,96,128
80,0,68,96
32,92,100,128
88,92,80,108
84,96,68,112
84,96,64,8
92,28,88,128
36,72,64,164
160,100,72,12
84,76,68,164
64,92,64,164
92,96,96,104
64,24,60,64
64,96,64,64
48,64,60,60
32,92,100,96
64,92,52,168
52,92,64,60
88,96,64,136
84,92,68,136
32,96,64,60
64,64,60,96
84,80,88,108
36,92,96,96
32,92,100,96
36,60,48,112
32,80,68,132
92,116,52,112
92,96,76,104
84,80,64,136
48,24,72,8
52,20,60,68
40,88,88,112
148,96,68,4
92,92,100,12
84,96,88,112
68,96,68,168
32,112,120,32
48,96,76,96
80,80,72,128
32,96,64,132
80,24,12,8
88,96,96,136
64,92,72,96
16,0,64,8
36,92,64,60
88,136,68,136
72,76,68,148
160,96,68,12
60,136,64,16
84,100,68,136
84,76,68,148
48,96,84,16
64,24,84,96
64,100,68,168
120,96,64,132
92,96,96,116
8,96,68,8
64,92,56,168
84,92,76,96
32,136,96,112
84,92,68,168
64,92,84,96
40,96,96,168
64,84,60,168
48,96,76,120
60,116,100,60
32,96,100,132
84,92,72,168
32,92,64,96
64,48,68,64
44,92,96,8
84,96,72,132
84,80,100,96
32,96,100,132
48,96,80,96
124,96,76,132
64,140,68,168
28,28,60,116
88,96,80,128
44,64,72,68
64,64,64,64
64,92,88,132
64,140,52,168
64,76,64,168
64,96,100,108
120,92,96,132
44,28,64,96
64,96,60,96
64,84,64,168
64,84,72,104
80,96,80,68
80,92,96,136
112,92,100,104
88,96,52,168
40,28,64,112
152,136,12,12
92,60,52,168
80,92,72,68
92,148,60,168
80,84,28,100
0,28,68,116
64,80,60,104
64,96,72,120
84,96,96,164
36,92,64,164
48,92,96,132
36,136,64,132
92,96,100,96
92,96,52,108
64,84,52,136
148,100,68,164
8,0,60,168
92,96,68,132
40,88,72,140
64,100,60,168
132,96,72,168
64,28,84,100
48,32,64,132
84,92,64,168
76,88,88,108
60,96,100,72
48,96,48,96
36,92,64,96
8,24,68,8
64,72,64,96
16,28,12,16
32,92,84,96
120,92,64,64
160,96,68,12
64,88,96,96
64,0,100,100
32,92,48,12
120,96,100,128
48,80,64,92
60,92,96,100
144,112,68,164
64,64,52,100
32,92,100,36
84,0,68,168
92,96,100,96
36,76,52,128
88,80,64,16
12,80,72,96
32,80,52,132
40,92,64,96
64,0,64,168
48,92,96,96
52,92,84,12
80,92,84,96
84,88,84,136
32,88,96,124
20,112,100,104
92,96,96,112
64,100,64,108
64,96,96,104
76,28,28,112
80,80,68,168
120,92,100,132
64,96,80,96
92,96,100,132
40,96,100,36
80,76,68,164
40,96,100,128
120,92,124,132
32,84,88,96
64,68,60,100
32,76,68,132
32,92,100,96
8,4,4,12
84,92,88,136
36,112,64,116
64,88,64,168
8,96,72,112
32,92,100,96
92,92,100,104
32,92,100,104
52,28,60,16
36,96,48,136
44,84,88,108
64,96,76,104
48,0,60,116
84,20,12,12
8,96,12,8
32,92,60,164
52,96,76,12
48,96,64,168
84,92,76,12
40,72,72,16
64,12,64,96
168,136,12,168
40,88,84,96
32,92,100,124
84,96,68,108
60,96,64,64
84,92,68,96
64,136,64,140
80,92,72,160
64,64,52,96
0,0,12,12
36,96,100,28
84,92,68,168
0,0,64,8
64,28,76,100
64,92,64,164
64,92,84,108
32,32,96,104
32,20,12,64
84,96,64,64
32,80,4,96
32,28,28,96
0,0,64,8
48,4,60,100
32,96,64,116
80,72,68,164
48,88,64,96
48,92,100,12
84,96,68,132
40,96,68,112
64,88,64,100
64,64,60,168
92,92,96,96
80,80,72,104
44,96,76,112
84,96,64,132
84,96,68,168
64,88,64,164
92,96,68,112
48,24,76,112
160,96,68,168
76,28,68,164
64,76,60,164
48,28,64,96
48,92,80,96
36,96,100,112
88,0,80,168
84,80,52,64
52,96,80,64
48,64,64,116
84,92,96,132
84,80,68,128
32,96,96,96
84,24,68,0
64,96,96,100
16,24,12,12
12,72,64,160
16,0,12,96
92,92,68,108
152,148,52,168
40,92,88,104
64,96,64,108
60,24,60,64
32,64,52,168
92,100,100,132
32,96,100,104
64,80,76,100
120,0,100,12
92,100,100,108
64,64,52,100
32,28,28,64
84,92,68,128
40,88,88,0
84,92,52,112
