ventral_dorsal
80
160
0
72
80
4
72
8
84
72
16
176
8
0
112
104
48
0
68
0
0
76
0
8
12
160
84
84
160
12
156
0
72
0
72
12
84
12
72
0
76
8
0
0
72
12
0
4
4
80
0
80
72
0
0
180
0
16
72
152
12
156
68
8
0
72
0
72
12
0
72
12
260
0
72
8
76
76
80
0
80
72
12
76
72
84
8
8
76
8
76
0
12
84
12
16
72
80
0
12
0
12
0
84
76
76
12
0
0
156
156
8
188
160
0
4
8
8
12
0
72
16
160
72
0
108
0
0
76
8
8
160
12
12
12
12
72
156
76
44
12
12
0
72
0
68
8
0
12
12
8
0
4
4
0
76
160
12
12
0
16
12
0
80
0
12
0
12
156
12
0
76
0
72
84
76
44
16
16
0
0
0
16
84
72
44
8
76
108
84
8
80
12
12
160
12
0
8
0
0
76
24
8
160
12
76
12
84
0
76
0
0
160
0
16
0
76
0
0
8
76
12
8
12
12
0
12
12
76
8
152
12
164
12
12
156
0
12
12
12
108
156
0
0
72
72
12
24
0
0
76
12
84
0
0
0
0
8
12
12
72
12
12
12
76
12
0
0
16
80
44
4
12
156
0
8
76
0
12
72
156
160
76
0
84
72
0
0
80
12
156
72
108
0
84
104
12
156
8
72
76
0
12
4
20
76
76
12
160
12
12
140
112
76
8
12
0
0
12
0
156
72
80
12
8
0
180
76
80
156
76
164
12
84
0
0
8
76
28
12
16
12
0
0
76
76
260
12
84
16
12
0
132
0
0
72
8
8
0
0
12
84
16
8
160
0
72
44
76
0
8
8
160
0
0
16
0
72
0
0
84
0
160
0
0
80
72
72
0
84
0
76
12
12
0
12
156
76
12
0
0
80
76
0
0
8
76
0
0
12
160
12
76
72
72
80
8
8
20
0
84
12
0
76
76
0
8
84
8
116
16
252
192
8
72
164
20
0
72
0
0
0
12
0
160
0
0
12
156
76
12
0
12
72
0
8
0
72
8
12
76
84
44
156
0
12
16
76
8
8
20
108
16
64
164
0
84
12
0
0
72
0
12
0
8
84
12
8
0
0
44
0
0
8
8
0
16
76
76
48
72
72
80
12
72
0
44
160
160
16
12
136
72
0
0
0
0
76
8
72
12
0
8
8
12
0
112
0
4
80
12
220
12
12
184
12
76
0
4
4
180
160
76
0
12
16
0
76
8
0
160
8
0
84
72
76
12
12
0
12
160
16
48
0
0
128
160
76
4
0
12
0
12
8
12
68
12
8
80
8
12
8
156
16
48
12
0
156
40
8
72
80
76
0
16
120
72
72
16
76
80
76
160
4
0
160
44
8
76
12
12
12
76
0
84
80
84
72
8
0
0
0
108
76
0
8
184
108
8
8
0
12
12
0
160
40
76
84
12
72
152
72
8
8
0
8
76
0
72
76
12
4
0
0
72
0
0
12
8
0
8
0
0
148
8
72
160
0
8
76
8
16
12
0
0
12
0
12
0
12
72
28
84
76
20
0
12
4
76
0
44
0
44
12
8
0
16
12
0
108
12
0
0
12
0
76
0
108
72
0
48
12
0
80
72
84
0
84
12
72
0
76
160
72
80
0
0
160
160
0
0
156
28
72
0
12
12
0
0
48
72
12
12
0
12
44
80
8
12
8
16
72
0
156
48
104
44
0
76
16
80
80
12
108
84
16
12
156
0
20
76
156
12
0
176
156
0
0
260
12
0
12
80
156
76
52
12
8
0
12
48
160
156
0
156
68
0
8
176
80
12
12
220
12
12
80
0
8
80
12
76
116
8
12
12
160
152
72
80
12
72
12
8
48
248
0
8
72
12
0
44
16
4
0
0
80
72
156
156
12
44
48
80
12
260
8
0
12
8
48
48
76
44
72
12
0
12
12
72
84
0
160
12
72
160
0
80
160
80
156
12
0
12
0
72
