dorsal_occipital
72
72
8
12
72
0
32
0
72
72
12
72
72
8
72
108
72
0
12
0
0
0
12
72
0
72
8
72
72
76
72
72
72
8
72
28
68
72
68
8
72
72
0
8
0
8
12
8
8
72
0
72
72
72
72
72
0
108
76
72
72
76
12
72
8
72
8
8
112
0
108
112
108
0
0
8
76
0
8
8
72
8
8
72
12
8
72
8
0
72
72
12
72
72
72
0
72
8
0
72
0
12
8
72
72
12
72
8
72
8
116
72
72
0
8
8
8
12
12
4
72
8
8
12
8
76
8
8
76
76
12
76
72
32
64
28
12
72
76
72
116
8
68
76
0
72
8
8
8
72
8
0
12
116
0
72
8
72
12
8
76
8
72
0
72
72
76
72
0
0
0
8
8
72
72
72
328
0
28
0
72
0
72
72
0
64
8
108
68
72
8
72
12
20
72
8
12
8
72
8
0
76
8
72
72
8
72
72
8
72
0
0
76
0
76
0
108
0
0
8
12
112
8
12
0
8
68
12
72
112
72
76
72
0
72
72
8
0
68
28
112
156
8
72
72
72
8
12
76
72
72
0
68
88
0
0
0
8
72
76
12
68
12
72
8
8
8
0
12
72
72
8
8
112
0
72
76
76
72
72
72
72
72
0
16
68
8
0
72
72
68
72
72
8
8
12
8
8
8
72
72
8
64
72
0
72
12
12
72
8
68
68
72
76
8
8
12
0
72
0
72
72
72
72
76
0
108
72
72
72
76
108
72
68
8
16
76
72
76
16
72
72
0
72
76
8
72
12
72
16
12
8
68
0
32
72
12
12
0
0
116
8
76
8
120
72
0
72
76
8
12
8
76
8
8
8
8
0
4
0
64
0
72
12
8
72
72
76
8
72
20
72
8
72
8
112
8
108
72
0
72
0
0
76
0
64
8
72
8
8
76
72
76
72
0
72
8
8
8
72
72
148
0
116
8
8
24
84
12
72
72
76
108
8
72
76
72
72
68
0
72
0
68
8
76
0
4
72
76
12
72
0
12
12
8
72
72
8
72
16
72
68
116
68
8
12
12
12
72
12
0
72
76
72
12
8
72
0
0
0
0
8
156
0
12
68
8
8
0
72
72
8
8
76
8
8
76
8
72
76
12
72
72
72
0
0
72
8
72
0
8
68
72
0
72
0
8
72
8
72
72
8
12
72
116
8
0
0
8
72
68
12
12
72
72
76
8
8
8
8
68
72
76
0
0
28
8
72
72
8
76
12
8
72
0
8
76
12
8
76
76
0
0
8
0
72
76
72
84
8
28
116
72
112
64
0
76
8
72
8
76
8
72
76
72
156
8
76
72
8
76
0
0
8
76
64
68
72
8
76
0
0
72
156
8
72
72
72
72
72
12
12
72
8
72
72
72
0
76
8
0
8
76
72
8
8
72
72
8
76
0
72
72
0
76
0
12
72
72
8
72
28
72
12
72
8
76
8
72
76
72
8
8
0
72
8
60
12
8
0
12
0
0
72
72
8
72
0
8
76
8
76
8
8
0
76
0
12
8
12
12
8
60
72
72
8
8
8
76
8
72
8
72
12
8
76
76
72
8
112
12
0
0
16
0
12
0
32
72
8
0
8
0
72
72
32
0
68
8
16
0
80
116
32
0
0
8
8
72
0
8
108
68
0
72
72
72
0
0
12
76
12
12
4
0
72
72
72
72
12
8
20
108
76
72
72
72
8
76
72
72
0
12
32
72
76
12
72
8
72
8
72
72
0
72
76
0
0
72
12
8
0
0
72
0
72
8
8
72
72
72
76
72
8
8
72
4
8
68
72
72
72
116
12
72
8
8
8
0
12
8
8
12
8
72
76
64
68
72
156
8
76
68
72
72
12
8
0
72
0
76
76
72
0
0
68
8
72
8
72
72
72
0
12
72
16
8
8
8
72
72
0
72
72
68
12
72
72
76
72
8
72
72
76
104
0
0
72
0
72
8
8
112
0
76
72
72
76
72
76
76
8
112
72
76
72
8
8
8
8
8
68
72
12
72
76
8
8
12
0
8
72
0
0
8
8
72
0
76
8
76
8
72
8
0
72
72
12
72
0
64
72
76
8
0
72
72
72
8
12
8
76
72
72
72
0
72
8
0
8
72
112
72
72
8
64
72
8
112
72
72
0
8
0
76
72
8
116
12
0
72
72
72
72
0
72
12
148
8
8
72
8
12
8
72
72
72
72
72
8
8
72
0
72
8
72
72
72
72
76
116
12
0
8
72
12
76
0
0
72
8
72
4
64
112
8
76
16
12
120
12
0
12
112
8
72
108
0
76
76
0
72
112
76
72
72
12
72
0
8
108
8
12
0
12
0
72
76
12
0
72
0
8
8
4
76
72
68
72
8
12
72
72
8
116
8
76
0
12
16
12
80
8
68
28
12
8
12
72
0
72
76
8
72
0
72
68
0
12
72
72
76
72
64
12
4
76
72
64
8
72
72
0
72
0
8
72
0
72
112
0
72
8
0
72
72
72
8
8
8
72
12
12
72
8
8
68
8
72
20
8
72
8
108
8
72
16
8
72
0
0
0
72
76
12
0
0
8
72
72
72
0
72
72
8
12
12
0
72
8
8
8
116
8
0
72
0
0
0
0
8
8
8
0
12
64
12
8
8
68
0
8
0
76
76
68
72
72
8
72
0
112
72
72
0
72
76
76
76
76
72
72
12
72
8
8
64
72
0
68
68
0
72
0
72
8
76
0
12
76
72
0
72
0
72
8
72
112
8
12
72
8
76
0
112
72
120
0
116
8
8
72
72
8
116
0
8
16
8
76
0
72
76
8
8
72
8
72
108
0
72
8
0
8
12
72
72
72
72
28
0
72
8
12
76
76
72
12
72
8
68
12
8
12
8
72
72
0
76
64
72
12
108
72
8
12
112
8
8
12
8
64
8
72
72
76
76
8
8
76
76
72
72
64
76
12
12
12
112
0
112
8
8
112
0
112
8
72
8
0
0
72
72
0
12
0
72
72
72
72
72
0
72
8
8
72
68
12
72
72
0
72
72
72
8
116
8
12
72
72
8
72
72
8
72
0
72
0
0
72
72
12
120
72
76
8
76
116
8
0
72
72
0
8
0
112
4
72
