sub,dorsal,ventral,frontal,occipital
AC_newepoch,3.803611182580859,4.426768244499969,3.547444420348327,3.602512064802091
AM,5.964368871274703,5.6224224169206085,6.158083606434905,5.356201857919276
BB,3.275974044361673,0.42969409508235207,2.9286334911457383,1.7716193481739466
CM,8.45008324907061,14.20327685461939,19.096264477724894,7.876910648473598
CR,8.11407236263259,12.582166279473752,19.712006078942444,6.963887590975388
GG,3.5391424494999466,3.41633321696234,4.007896495609161,4.194836800368586
HA,1.4768859216854755,4.045757628263263,2.474176208337937,4.022655029777104
IB,5.838295460106376,5.5223429498346945,6.538760089366236,3.4609471277809427
JM,2.1203722605929585,2.3943953153199975,2.441991585578707,3.086262947099725
JR,5.499120316811546,5.757534849591459,6.622745428758449,7.133224611988737
KK,2.5782726783613708,1.824270840041864,2.3133893304333193,2.195062586142817
KT,13.522147751684042,14.715494789942928,5.3069867901402334,15.421822608186119
MC,2.727388512325468,1.613075209735528,0.3629118389071243,2.2693784480615737
MH,1.6425704839855078,0.17839843135813965,2.2173040523039136,0.5615592184133364
NF,0.1701006117305914,1.2324657224747078,1.537936867139772,0.5120732862857017
SB,6.659510417605204,6.690949674976302,7.581550797632837,7.727024008364185
SG,2.5462975117383855,4.1218473158237074,2.599909332890585,4.867406163940635
SOG,9.206814885508306,8.502437354285235,11.635969295781084,10.437081699775133
TL,3.3159016699370443,5.527332461092837,5.319067254967618,5.0043645102778145
ZZ,6.61513080243824,9.082118485074435,8.491351017542081,7.49419003488317
