sub,dorsal,ventral,frontal,occipital
AC_newepoch,1.5848035260533127,1.2474126850724638,2.990663519262186,1.3781920484253065
AM,1.892685053725583,1.5330569070818238,2.340572748285024,1.944144442341485
BB,1.1555838458605072,0.037468811425585245,0.8833084689233954,0.39245759625000004
CM,1.1596676307971014,2.0737861663840578,1.9373462202173914,1.1387008021920288
CR,1.0989076449355877,1.8067167481688964,2.116485567210145,1.084688860409699
GG,1.1130615021143893,0.9992615828652173,1.1632847767904588,1.3102009410718598
HA,0.21342908235205316,1.6887826861607622,1.4583828804821628,1.4468047863224636
IB,1.6513622958890748,1.1834868011325819,2.5353822992960664,1.385072563713768
JM,0.9480664997073579,0.7775821535547505,1.029057872384058,0.9281006358876811
JR,0.730889936082776,0.7047614062336955,0.9438481446150362,0.8082159395471015
KK,1.0562542270600415,0.9786874315874933,1.248150327779503,1.2451417877787068
KT,2.7754898899735228,3.1728511782194615,2.210183964746377,3.0679867974024524
MC,1.1739553570815218,0.6393602412775095,0.4307383264673913,1.0232972713833992
MH,0.2150645086348344,0.7305153143064183,0.5664571080874741,0.5476328835451505
NF,0.4927249057181677,0.6857702116594203,1.3064868588768117,0.6765980954981884
SB,1.1967145689542162,1.354634366231884,2.8485397467572464,1.865217348164251
SG,0.9502338144862835,1.4468745556896998,1.1609123702613868,1.7230587436322464
SOG,2.159421959378882,2.4162428188352125,3.8296673324581936,2.266812772201784
TL,0.9801614899199879,1.1304999972518115,1.2794678441304348,1.1307309115579711
ZZ,2.5548565859753625,3.2920707571281462,3.8930992751056763,3.711701886790459
