sub,dorsal,ventral,frontal,occipital
AC_newepoch,0.15914091318472587,0.5007171412492616,0.16774260588355866,0.42926906678989163
AM,0.5377541543244231,0.6373296315604232,0.7594303522763479,0.017555769736381177
BB,0.5937807969484177,0.7465198084510265,1.16898396169595,0.7773946007401876
CM,1.5503050302162524,2.507562830527658,3.596503987853775,1.5131280845563209
CR,1.5954816841046104,2.4228365848753373,3.629272648437181,1.4717914053428955
GG,0.5089502124519181,0.05315477326292219,0.14771740784886883,0.19386531749903782
HA,0.6051279892020415,0.7213127837917427,0.05730366820175972,0.8962867388164408
IB,0.2332257638647694,0.0524704459642635,0.4134427154908246,0.16068735480564417
JM,0.2075966194644224,0.18556973016878753,0.10933737466432973,0.6768352456481225
JR,0.7105310151746683,0.30000889278691556,0.25684123809831905,0.7052158306763968
KK,0.26574155093663265,0.28007038664431133,0.40671492506072243,0.06552652175365214
KT,0.7537421426135741,0.6578367450576158,0.12443511023607114,0.7349509325626183
MC,0.2255836231410578,0.1344339880973163,0.3718626091883281,0.12443250897331651
MH,0.8820128371487849,0.8647045488744878,1.0376138631056164,0.8917159407088443
NF,0.15472676541265742,0.5240126216062412,0.5047893738708021,0.3811469390028775
SB,0.4460596581475415,1.0128894845778644,1.0186589633656025,0.6819621641295902
SG,0.6519058287079614,0.5550420399473439,0.21904838466000365,0.34493789978447914
SOG,0.08554719048814119,0.4381712495775894,0.16846191404028227,0.3112835976524721
TL,0.1779017393344109,0.3601733802368303,0.2872871531281994,0.1379463215614321
ZZ,1.136796548959314,0.22111529274892355,0.7312315451214207,0.10827731850447163
