subs,dorsal_ventral,ventral_dorsal
AC_newepoch,0.012856598013058768,-0.010284528986259549
AM,-0.049639176515725546,0.05189804711229274
BB,0.00965864506445078,-0.024363914723804246
CM,0.009559353475217473,0.005177450319035348
CR,0.014152888071055273,-0.007283332372315811
GG,0.0033495358409769923,-0.014630077480114335
HA,0.03736956981615086,-0.03340598577331839
IB,0.002380320012088929,0.0031395241141842726
JM,0.01912632684242822,-0.029688452175834587
JR,0.012110881866292002,-0.0041292484382412275
KK,0.04678824830827365,-0.049507297799185924
KT,0.0005598902648557526,0.001846277122214074
MC,0.032486035163211704,-0.03072064843243029
MH,0.05687938902167937,-0.071504907421251
NF,0.010269026470844399,-0.007050836206222121
SB,0.08287610980604243,-0.08200326585991162
SG,0.021705508049250827,-0.013438716480270623
SOG,0.021050859181740843,-0.02623078591931605
TL,0.01366925128664193,-0.013806946115215143
ZZ,-0.017375538068510697,0.01365182819281262
