subs,dorsal_ventral,ventral_dorsal
AC_newepoch,0.01251484549773966,-0.01251484549773966
AM,0.06879213486302238,-0.06879213486302238
BB,0.07145430567995267,-0.07145430567995267
CM,0.054704756852417345,-0.054704756852417345
CR,0.006436265556880124,-0.006436265556880134
GG,0.0026032498430460255,-0.002603249843046022
HA,0.02161427851461118,-0.02161427851461118
IB,0.004173176845203792,-0.004173176845203792
JM,-0.01028474976704307,0.01028474976704307
JR,0.013925268183651418,-0.013925268183651418
KK,0.014095917661255238,-0.014095917661255238
KT,0.026940980452440647,-0.026940980452440647
MC,-0.027456450284327374,0.02745645028432737
MH,0.04383486972250955,-0.043834869722509544
NF,0.0008145312411199587,-0.0008145312411199613
SB,0.0620172103650667,-0.062017210365066716
SG,-0.063760072210028,0.063760072210028
SOG,-0.011193591258310364,0.011193591258310364
TL,0.0029962592527925107,-0.0029962592527925085
ZZ,0.03982518737158628,-0.03982518737158628
