,corrs,x_coord,y_coord,offset,label
0,0.5272685492927169,[0],[0],[0],Same
1,0.43998096517188834,[0],[1],[-4],Dorsal
2,0.29219592666000854,[0],[2],[-8],Dorsal
3,0.13360410935300546,[0],[3],[-12],Dorsal
4,0.03715971522838485,[0],[4],[-16],Dorsal
5,0.0046092142841296585,[0],[5],[-20],Dorsal
6,-0.03437542694251758,[0],[6],[-24],Dorsal
7,-0.04793316973942906,[0],[7],[-28],Dorsal
8,-0.002198791136458348,[0],[8],[-32],Dorsal
9,0.03861328907481979,[0],[9],[-36],Dorsal
10,0.04030459880418725,[0],[10],[-40],Dorsal
11,0.03750953187850717,[0],[11],[-44],Dorsal
12,0.08874351137203523,[0],[12],[-48],Dorsal
13,0.15309953411903324,[0],[13],[-52],Dorsal
14,0.20990514264678356,[0],[14],[-56],Dorsal
15,0.17552123052834392,[0],[15],[-60],Dorsal
16,0.11748161205777376,[0],[16],[-64],Dorsal
17,0.08708973903767714,[0],[17],[-68],Dorsal
18,0.08712895971408643,[0],[18],[-72],Dorsal
19,0.08305261365309846,[0],[19],[-76],Dorsal
20,0.05724008258535609,[0],[20],[-80],Dorsal
21,0.006187513145866526,[0],[21],[-84],Dorsal
22,-0.018142113381052302,[0],[22],[-88],Dorsal
23,-0.04313682160823851,[0],[23],[-92],Dorsal
24,-0.06284240568954709,[0],[24],[-96],Dorsal
25,-0.09392579528791155,[0],[25],[-100],Dorsal
26,-0.10062372326618851,[0],[26],[-104],Dorsal
27,-0.11320463861173521,[0],[27],[-108],Dorsal
28,-0.1185829730916727,[0],[28],[-112],Dorsal
29,-0.09936878087440684,[0],[29],[-116],Dorsal
30,-0.06139812920945713,[0],[30],[-120],Dorsal
31,-0.012047664876728054,[0],[31],[-124],Dorsal
32,0.029563248970547778,[0],[32],[-128],Dorsal
33,0.07731854559768306,[0],[33],[-132],Dorsal
34,0.1182068743159545,[0],[34],[-136],Dorsal
35,0.10477258182896844,[0],[35],[-140],Dorsal
36,0.05756701606758626,[0],[36],[-144],Dorsal
37,-0.015434589692384896,[0],[37],[-148],Dorsal
38,-0.05692493376405873,[0],[38],[-152],Dorsal
39,-0.07225175476253531,[0],[39],[-156],Dorsal
40,-0.06202231396932201,[0],[40],[-160],Dorsal
41,-0.04287779034409767,[0],[41],[-164],Dorsal
42,-0.05080334440534006,[0],[42],[-168],Dorsal
43,-0.08400449094086102,[0],[43],[-172],Dorsal
44,-0.133579392325991,[0],[44],[-176],Dorsal
45,-0.14611354549270555,[0],[45],[-180],Dorsal
46,-0.14411258619031322,[0],[46],[-184],Dorsal
47,-0.1219058928410406,[0],[47],[-188],Dorsal
48,-0.08945740228852388,[0],[48],[-192],Dorsal
49,-0.06937343482852049,[0],[49],[-196],Dorsal
50,-0.06748039297842814,[0],[50],[-200],Dorsal
