subs,dorsal_ventral_occipital,dorsal_frontal_occipital,dorsal_occipital_occipital,ventral_dorsal_occipital,ventral_frontal_occipital,ventral_occipital_occipital,frontal_dorsal_occipital,frontal_ventral_occipital,frontal_occipital_occipital,occipital_dorsal_occipital,occipital_ventral_occipital,occipital_frontal_occipital,dorsal_ventral_frontal,dorsal_frontal_frontal,dorsal_occipital_frontal,ventral_dorsal_frontal,ventral_frontal_frontal,ventral_occipital_frontal,frontal_dorsal_frontal,frontal_ventral_frontal,frontal_occipital_frontal,occipital_dorsal_frontal,occipital_ventral_frontal,occipital_frontal_frontal,dorsal_ventral_dorsal,dorsal_frontal_dorsal,dorsal_occipital_dorsal,ventral_dorsal_dorsal,ventral_frontal_dorsal,ventral_occipital_dorsal,frontal_dorsal_dorsal,frontal_ventral_dorsal,frontal_occipital_dorsal,occipital_dorsal_dorsal,occipital_ventral_dorsal,occipital_frontal_dorsal,dorsal_ventral_ventral,dorsal_frontal_ventral,dorsal_occipital_ventral,ventral_dorsal_ventral,ventral_frontal_ventral,ventral_occipital_ventral,frontal_dorsal_ventral,frontal_ventral_ventral,frontal_occipital_ventral,occipital_dorsal_ventral,occipital_ventral_ventral,occipital_frontal_ventral
AC,0.023839326583280543,0.028331611650344552,0.010163059971072504,-0.013412464388281276,0.004014149938980312,0.008622884749245247,-0.02555412200779274,-0.0003651256396624195,0.012593013171184428,0.007711448983110827,0.011771171498675724,-0.007595717888384851,0.021940583761469477,0.040264207013591895,0.003674880416117989,-0.020271283870016338,0.012333958895862831,0.0011720398331429294,-0.02167844604346205,0.007438070781562347,0.016268784847978668,-0.00546005548748442,-0.0003718325249259655,-0.0030958176070004857,0.04066997229954251,0.021383847674634218,0.02330544904130351,-0.012034134685376039,-0.0021030280783558637,0.008498307674360208,-0.02115624508212589,0.003468265514521783,0.0157679611350559,-0.0009398657536916178,-0.0031099287389516434,-0.014898635783105676,0.030181045341845587,0.027343034999784757,0.016493063393660266,-0.005409902203056066,0.002020455289034678,0.016180285092523474,-0.020918694929547982,0.005346697970737415,0.016411687620592804,0.006016131741630342,0.007983906377184545,-0.012287480735866689
AM,-0.06283486953044427,0.04065050589089402,-0.03271215240983466,0.05972450148808225,0.02117487156810052,-0.013998195902279631,-0.040891055173631966,-0.019855144264471488,-0.004386162262388416,0.030016392552909024,0.026814974654440254,0.002680838731741654,-0.06406301592981362,0.093760406865155,-0.027428646492566097,0.0630122467345582,0.017735749021177923,-0.016518934272865313,0.0013813976459334319,-0.00160304949497837,0.004073493831910166,0.024421090472546387,0.016048186886958263,-0.022687347624816875,-0.02382070967496915,0.033852712695477724,0.010377858916499534,0.047833077362194124,0.02121338926781244,-0.019616972483978805,-0.04279075489072705,-0.012630090994953323,0.003751673669630954,0.025892418642702877,0.012285283280503812,0.00010211793523272901,-0.04170163198184745,0.03661193342295449,-0.023645629336175398,0.08469045770401543,0.014332122226594928,0.02492300431790805,-0.03933769605100156,-0.0241027301497388,-0.002986804720911821,0.02760721978843056,0.027092574717276347,-0.003198513825626666
BB,0.04509672522816895,0.04079449461328466,-0.007848912875794083,-0.02020002301156798,-0.04003809759093694,-0.027278109375565525,-0.02725122306473978,0.06722780643358663,0.030252850589414213,0.06207239320014568,0.1259314048466313,0.017611885905646732,0.028804971339094647,0.02271661571628423,-0.05267861279376145,-0.016174073965118767,-0.019321445999785872,-0.08853573839225587,0.002370844058076182,0.06726454318822431,0.009404910817422906,0.06275532057030277,0.10157676600676986,0.038394323474813655,0.04495827509311591,0.035128533355182116,-0.036047206742189225,-0.012045096998078687,-0.04933280516842035,-0.08571050187192938,-0.022887451574558796,0.06002186078061497,0.004725281201162925,0.05431054731365833,0.08905026586084752,0.0005966127887612969,0.05012240047602941,0.04005638269528023,-0.03040835498930139,0.007663634799705403,-0.03593478293073898,-0.06394923663120877,-0.025425522622187273,0.05571938747701426,0.0006153150753000486,0.07540993909065989,0.11201874098593047,0.012498178731718159
CM,0.025088078428715882,0.004190756668341306,-0.05460218166367902,0.0017499345647896097,-0.0063807943133800645,-0.017189799325682844,0.0026383335335084077,0.017931297010878474,0.00022137158136351006,0.10923273556199921,0.08317539200199715,0.012302813631202114,0.0030131033603665374,0.013734483308382273,-0.08564423495549542,-0.012675047783901534,-0.005920263457949856,-0.048287582027622775,0.006230739500783009,0.005502331161176601,-0.0012187683535754036,0.0833224345803947,0.039764805282031315,0.019359977131863788,0.07793792568093746,0.029864888409785247,-0.026383267537993693,0.036284627126984416,0.012275916513878852,-0.005300442023407767,0.03203820207274698,0.040333137458965614,0.006739024331690999,0.10780904590065363,0.06387266819772988,0.01523578924061364,0.06662557830888882,0.0036747696817532945,-0.043367481192922774,0.04540576582883713,-0.004033238148571871,0.00718658973863899,-0.009510503850556887,0.007166075820554293,-0.019261014734049484,0.1159073230841223,0.08103209717198759,0.013488642987610553
CR,0.053013349903383335,-0.024975511477649953,0.03000298178188768,0.006902880757950692,-0.003246577481959664,0.01842330184923155,0.01684571359868044,-0.004469943214727512,0.01927358632558193,0.0991211856076339,0.10898373078899122,-0.02918956473409907,0.011908127977814983,-0.02818297233154204,-0.03355656523840474,-0.010221000557204684,-0.008099971850354253,-0.02377131001989072,0.03931073775321144,0.019386385444703304,0.03473586520501593,0.032291087805259716,0.02255265390249321,-0.041785572308631634,0.07953394858787892,0.005609357448621666,0.025957311329225907,0.027873221462549724,0.017206005400864366,0.014772740154493433,0.037344909104369176,0.017385211807475376,0.04439746666335138,0.08754132166812749,0.07121212463882974,-0.008410497164552546,0.06126134007215703,-0.01513443958687817,0.008675924535856803,0.039463556541192664,0.008023887175146063,0.037485693999863096,0.014611332885323557,-0.005877921271795793,0.022544624958344816,0.08353102716329665,0.08588290591965132,-0.016486963126916797
GG,0.00421419169194424,-0.021877013161113172,0.0012312820491277758,0.003794250001017214,-0.04388949702396518,-0.01112424750724879,0.02610049051663241,0.04726838212461538,0.03618742680803508,0.028234223997402018,0.03721195157782182,-0.03347511450849752,0.00036174826843402735,-0.017761019042473226,-0.010498725142884816,0.007017753683802873,-0.0296002122817667,-0.020998187990869922,0.045199538375266204,0.053458995747912075,0.03713327702287294,0.015872769202987472,0.021939050174404208,-0.014905319250055594,0.011924523606229993,-0.01721103162823141,0.0016142680099209652,0.0033323950953327726,-0.04383736187269684,-0.014528479151400917,0.024164522820553053,0.04715113618803996,0.037906124078475725,0.019770474315592392,0.028575738188810856,-0.031412648431114916,0.00707608193016066,-0.022051673623421593,0.0006198647193479812,0.008205766674667622,-0.045335435479639315,-0.01062510570393446,0.014891260263484269,0.032012876689797166,0.02586091287710651,0.012891354172003397,0.023757989581342717,-0.037350406492540844
HA,0.06678062704718718,-9.969586775509377e-06,0.06936490692832167,0.016277679802467665,0.010253277084132026,-0.008944521953726194,0.03822699202757069,0.025645326009854853,0.010886638547116056,0.047345237928014504,0.11843505977574198,0.039724221687351714,0.02975658299156331,-0.003364156221500238,0.024480763211362222,-0.014145438051006433,0.008062062149345696,-0.05212575539167314,0.0262456685181954,0.009539016438510824,-0.00846416072966585,-0.0009261917863957439,0.06448880342730055,0.0341109783410884,0.02736188407581169,0.0022836118642026344,0.025051901137646892,-0.010279540055806327,0.0007460122737940722,-0.06082024285999687,0.032928672944896244,0.005351320422193325,-0.01676030888599138,0.021644302474613786,0.06359502114672261,0.030115645886155232,0.03744870438349106,-0.012494353397772998,0.0246412623258917,-0.011426273001397994,0.0026393509735767777,-0.04453219031755103,0.025122618002297557,0.014220958103260984,-0.007981530145319446,0.0018516341698325898,0.08507062332815404,0.02731821548091439
IB,0.014760925351913631,0.01436648137461533,0.029416539958654897,0.02389149986246825,-0.002964396395197583,0.04604985182190649,-0.03393327724348766,-0.014851382041461424,-0.059076416407803096,0.0842468685956928,0.055840898074329216,0.029542341113515166,-0.0009318101879382913,0.01175865274519908,-0.03369628361126168,-0.004543402629944479,-0.002488841789267946,-0.014356682822953616,-0.012851559167738497,-0.002212291701633064,-0.024640481141757445,0.02972385584040361,0.013354456839229433,0.023517753777967495,0.035753541623443484,0.02032725915917567,0.008482909683446631,0.03777429666191299,0.002390588264504315,0.02154784311029807,-0.030211172000287063,-0.010099178407560297,-0.040371135517480436,0.07348794807567893,0.048225173734868815,0.034578353639848285,0.03947211759498326,0.02120694618992952,-0.005608460039315953,0.051497809536999305,0.000856687312452077,0.02485453328719887,-0.03249180406010152,-0.015720188470849664,-0.04207617984481872,0.0711139179018776,0.05877880752367746,0.03523510832598586
JM,0.02154216006776473,-0.05011430775575957,0.024011584247044155,-0.022556680159771306,-0.03760487519080564,0.03184427515120614,0.035292664580493883,0.019249565251096595,0.006082167453265694,0.005222233079495158,0.005551982456963953,-0.015360212697948463,0.023018110361659083,-0.03326132967657349,0.0043353435170664974,-0.026190406099461248,-0.026640491232216675,0.005114976074750565,0.043585392746211093,0.029015376938714626,0.015374046755675797,-0.0035674636632313265,-0.006143091147730287,-0.0024826090815567516,0.048595648547999304,-0.017744906245860587,0.009532126041273733,0.01646538444018074,-0.005603460454399874,0.009945250868067497,0.05011947134757782,0.040494010123679744,0.01708244346309899,0.0070510708390946605,-0.0007978272774248638,-0.0075517125621229,0.056158792689994776,-0.034764382687594554,0.020347151087223393,0.019032558607220224,-0.01725197174925077,0.021330991957139857,0.028654771595297505,0.018741819396290875,0.011125402636131876,0.006393773357565305,0.0005123534107443137,-0.009355328530783906
JR,0.018772717123392194,0.03758000682839777,0.07414757765148662,-0.007167694920090379,-0.006279344364095197,0.041979548445997265,-0.03570930321358572,0.016671138082225603,0.06796458079426898,-0.03377803780861474,0.014953232155501735,-0.03167248270860884,0.019754256800921893,0.04167115642766354,0.0729366037242855,-0.008180859187001599,0.004923648833249079,0.030453325722119978,-0.027675265032283996,0.026577873662283123,0.06571861400018773,-0.06308973697861828,-0.022922457779687648,-0.04896135555038249,0.05142089859756172,0.05799684145137691,0.07965595994128952,0.004565685662187631,-0.005675553543016705,0.030472576123874953,-0.01854392641813741,0.03180601610703188,0.06591886830436995,-0.05967629566679597,-0.019877950934208764,-0.05591634618932748,0.033609716409349184,0.04689650293376579,0.08294229081186487,0.011513196102466365,0.010225885747327204,0.051383334868777795,-0.033455983008646134,0.0245048177078747,0.06724956673112059,-0.0483683254051057,-0.0019553206879417734,-0.04612000319987651
