subs,dorsal_ventral_occipital,dorsal_frontal_occipital,dorsal_occipital_occipital,ventral_dorsal_occipital,ventral_frontal_occipital,ventral_occipital_occipital,frontal_dorsal_occipital,frontal_ventral_occipital,frontal_occipital_occipital,occipital_dorsal_occipital,occipital_ventral_occipital,occipital_frontal_occipital,dorsal_ventral_frontal,dorsal_frontal_frontal,dorsal_occipital_frontal,ventral_dorsal_frontal,ventral_frontal_frontal,ventral_occipital_frontal,frontal_dorsal_frontal,frontal_ventral_frontal,frontal_occipital_frontal,occipital_dorsal_frontal,occipital_ventral_frontal,occipital_frontal_frontal,dorsal_ventral_dorsal,dorsal_frontal_dorsal,dorsal_occipital_dorsal,ventral_dorsal_dorsal,ventral_frontal_dorsal,ventral_occipital_dorsal,frontal_dorsal_dorsal,frontal_ventral_dorsal,frontal_occipital_dorsal,occipital_dorsal_dorsal,occipital_ventral_dorsal,occipital_frontal_dorsal,dorsal_ventral_ventral,dorsal_frontal_ventral,dorsal_occipital_ventral,ventral_dorsal_ventral,ventral_frontal_ventral,ventral_occipital_ventral,frontal_dorsal_ventral,frontal_ventral_ventral,frontal_occipital_ventral,occipital_dorsal_ventral,occipital_ventral_ventral,occipital_frontal_ventral
KK,0.07328121058682924,0.019289687952214734,0.026009367688446732,-0.05733670970116489,-0.012883967047075938,-0.043968688806532485,-0.02117085878230251,0.012465599960097384,0.05370603570453862,0.0012122848244187688,0.0845636083975017,-0.06069207500931862,0.06644182353594875,0.00773589860372297,0.011211459638961247,-0.06080198136606917,-0.0027448415885055876,-0.06850446244077298,-0.0016716704105146421,0.02702344144139479,0.06785161773317007,0.0003988720649458037,0.0657759705513371,-0.02591750693053946,0.06865978733757742,0.01897897561490021,0.01616565094105009,-0.06710558332553287,-0.019250860661726175,-0.061221213864585976,0.004115216541645604,0.02258197004026422,0.07029527380969702,-0.009194900567288297,0.06370384712757667,-0.06738651696069654,0.058696344466096034,0.01674939487135053,0.010008822913413306,-0.060461082235947546,-0.020137294614870165,-0.05250404058002592,-0.01846952313113185,0.012282323880929093,0.06061811690960899,-0.008248461615541805,0.07397020187285117,-0.06800897071865518
KT,0.003290842906888751,-0.01929401057216046,0.03695416405829985,0.04001369163823803,0.026854986239738535,0.05292996298399435,0.013934542534001768,-0.03526285762011795,-0.030722790108498925,0.08361168383731735,0.09236152840211914,0.02449715132572298,-0.01794487624817496,-0.0030073269916405005,-0.02876192334574196,0.0203862839487153,0.04024136521183195,-0.013888208735024892,0.01676689426962803,-0.0183394705342839,-0.022266582550787416,0.02894737228878982,0.011855182932635945,0.026434825413439302,0.028561131763578773,-0.01096910768920874,0.004843274642537727,0.06766721913493948,0.03577558651452629,0.015228077378493562,0.025485786691454387,-0.025761553125132782,-0.019036057641542155,0.06101447672372396,0.043323995078953056,0.031600144631413474,0.0584208733211246,-0.007347824322574147,0.022073366436771016,0.09593856156475183,0.04148880131277998,0.03972324780927155,0.03883731579787478,-0.007332954515348084,-0.009778459416386666,0.07577092199267285,0.070145256375655,0.03521362644555986
MC,0.05781890139823308,0.003020561957144093,0.08821716187592936,-0.03510612326992226,0.007209845584769417,0.0070491616266114745,-0.0032603047628959173,-0.004341792361751972,-0.00979140216800954,-0.06796320512538552,0.009661374222828412,0.009197264540698098,0.04271455721972242,-0.0020506396002448798,0.07447044300033025,-0.04489778827699795,0.002259430678200485,-0.004551515321384391,0.001162310796807388,-0.0015331293582149595,-0.0023961976711458625,-0.07603906197892218,0.0010265489139479633,0.004079439465828703,0.052561274314827516,0.0026293573167534166,0.08280498725594994,-0.02374253972059602,0.003133500488221069,0.0008805549487299311,-0.0028761364518516074,-0.002199781845789605,-0.0037898594722772824,-0.05401273632373429,0.007109569662946896,0.005336082773010844,0.0471109703112673,0.001114932052102327,0.07239062053603,-0.025362699267946827,0.004293050773231857,0.011485784506402487,-0.0074301593377459636,-0.010263999650228181,-0.010259749225804703,-0.06158815445230984,0.013823673633447284,0.006441263210955421
MH,0.12897945130141905,0.022014451322333498,0.068794465592201,-0.08885937922537457,-0.045367777094262485,0.0030356429632338077,0.004563469743009108,0.09650694526677775,0.015822497232661686,-0.023939938281379414,0.05251241607437037,0.03975993098585587,0.11621528870594672,0.04112252689861666,0.06443437310831594,-0.10915789802154353,-0.06302158228863561,-0.015726309803314194,0.005524063592725379,0.07481594379339877,0.0090913473679793,-0.0612044152832267,0.01890438484439166,0.002366192211063848,0.1200640267035771,0.04570086290714115,0.06968674262335293,-0.1006942746363364,-0.057583121635254385,-0.01409548072032887,-0.006098051760607394,0.07003464910505916,-0.004920350346936208,-0.04844822139804734,0.016865129315004033,0.017708046509032883,0.11739626158989395,0.019233673848413724,0.056339100725772015,-0.08220968722732319,-0.045907870586805656,0.015429560505536372,-0.007798252069807748,0.07506222508402689,-0.007948806782362953,-0.024881648766689603,0.04864090910047108,0.034889893310886766
NF,0.02904114821567951,0.02099085419445173,0.027015747457257995,-0.01183353964477815,0.02301454229937443,0.0260244139195708,-0.023244124820381386,-0.024518990373677312,-0.03159516927327255,0.008057741412887495,0.014505930497986746,0.02373360594288838,0.019148956077998918,0.020858869921989712,0.008841249272602398,-0.019748873906933955,0.028455202045693382,0.004419094378134783,-0.01732665569695096,-0.013878535801635056,-0.02132673951677346,-0.0098632047723609,-0.00661272841338961,0.02520630823207468,0.047720116143390105,0.027415009921168784,0.03458276366853298,-0.003638864771025606,0.02628051709389458,0.018100215355646904,-0.013453757993536774,-0.017164510470870722,-0.02421448581412893,0.009264891615949372,0.0048436720832952425,0.03271867859344845,0.052040246241344595,0.02299176066076265,0.02912597949522895,0.0230362361939893,0.025858307685530067,0.04478301299460612,-0.017925805575284056,-0.017344866949231114,-0.025465169780708032,0.007491749513866771,0.019739169298008355,0.028220689048028966
SB,0.08730762302485578,0.03510265422159009,-0.09249980060886412,-0.09029490914733478,0.012859026586070054,-0.09748734857164687,-0.03355913263864139,-0.016096825726659904,0.057471683841574445,0.11613647830611125,0.08966278053253385,-0.04176676212411927,0.08868110986667467,0.030039594451796884,-0.11412443065519975,-0.08896623837238972,0.022609101456324093,-0.09785974194452178,-0.01875403217028051,-0.008540840041423019,0.04788579789617718,0.11710526553365719,0.10173855119179342,-0.03268586044603924,0.11838289773457417,0.038618458677809386,-0.09178207314006984,-0.04250062172846113,0.018266154155056242,-0.08045866877492881,-0.03232679730731355,-0.010531558614092756,0.058866450499731715,0.1073530579396642,0.1006495125541524,-0.056664020107702294,0.11403578235841536,0.03348456449869226,-0.10930454854411349,-0.023096702828614497,0.009702563873980502,-0.09177678928931401,-0.04341281544574854,-0.023563636477027472,0.0574782788670711,0.09002857440652712,0.07695543069245474,-0.056727286863867694
SG,0.02519320388200162,-0.021070360262379764,0.023075283890785666,-0.017490189912846118,0.0016587765788131114,-0.011571682051144495,0.021231780100588783,0.003094277643067934,-0.007894957436287703,0.007027195876200682,0.07434835393674528,0.008610458975789492,0.03053106163608912,-0.028897764087855923,0.020167007916837433,-0.030302804211690765,0.016944465671607966,-0.03719896475389682,0.02394921112597344,0.004217244930539423,-0.006623831564559368,-0.027449077793568512,0.033153156895216626,0.020451779953467746,0.05521437676630223,-0.023936576880250256,0.03600932411067098,0.008482205249035755,-0.00534576951778539,-0.023347038660041022,0.011220395876145102,-0.003091027164654013,-0.006566923172473284,-0.0020595797082486518,0.05576942705932634,0.008072776275342817,0.04670097856169411,-0.016569438959038348,0.03681451121943118,0.013211540929835333,0.0032783170964531183,-0.00032400932147227767,0.021138994864908757,0.004902629224082869,-0.0009066395019381387,-0.0051360287433623265,0.06406401442531669,0.011673066083937474
SOG,0.05860141708976976,0.03817519962230847,0.0516889998973663,-0.031606438304981874,-0.007460910923626881,0.021368515509769922,-0.03155525441772586,0.011665014890156455,0.03159712207368782,-0.02626041236987529,0.018509474015340605,-0.029946293850576903,0.04853141900365173,0.03754127412305166,0.04521732130832967,-0.0445890182418365,0.004228467937434308,0.0044011976255387015,-0.01666122843665765,0.030618190310008106,0.050287718910359935,-0.0424339577125118,0.0012941314892401501,-0.022316068386045478,0.05795532915199815,0.03391873338511642,0.04988349483735952,-0.04718904299955813,-0.01949410473317387,0.002560628775296922,-0.020660701668358792,0.02832149459083975,0.04113221318817588,-0.04025919949359851,-0.0035781361390694426,-0.03869361418332563,0.05744897310345962,0.03465179675918836,0.04867097057247063,-0.02166966211091197,-0.00792812273822955,0.016565023809338376,-0.024156795028640883,0.025295485765127693,0.043970956070417344,-0.028527030817047924,0.011473161364699364,-0.032446969803160586
TL,0.03838123242532538,0.0103042577515411,0.021691144086148584,-0.005452371725406158,-0.011355852625631067,0.013578103793282711,0.0037600216556709395,0.024776927729607986,0.01894394892884409,0.04718441684139265,0.04100853857658997,-0.004514104146674332,0.020604237141260882,0.004306527102840969,-0.01229575942059474,-0.02786678154173365,-0.023332390370539698,-0.014650417398374844,0.017080653356731073,0.02143981983737897,0.020610890412746326,0.008036758408672046,0.00907688014172001,-0.02046143164604751,0.05313975030502258,0.012828869713107571,0.025055286271744418,0.0030361255305490593,-0.013903687603651379,0.006650320611491047,0.006910579393695959,0.023963024088000565,0.020503416159672473,0.037140227993166304,0.02672506617098737,-0.010912629448900096,0.048691225872282126,0.00764337336408467,0.008762251367410465,0.029858652647797336,-0.007916377394956904,0.031045650060925207,-0.006108069588132061,0.011225265043777782,0.011025521005863487,0.03080984240464013,0.036530873896142894,-0.010634801609989104
ZZ,0.010228950643152143,-0.013012483063686858,0.033300233531182645,0.036566052527201735,0.026459670125788367,0.0515757579043914,0.030219173416850268,0.006996989413333354,0.027441573893371627,0.03060052491211493,0.03971046746842434,0.014540641158665886,-0.0024733084705042827,-0.005426104738166393,0.021768604693450905,0.009874866797209357,0.021375313371960646,0.01669392300898208,0.028775709392317068,0.004004632872356966,0.022007667680494218,-0.012313312577698897,-0.014007128795088046,-0.0009581688453292829,0.006989185223416599,-0.011376075083521436,0.030111220591133206,0.015142727180004556,0.010760278567600557,0.01394862249307927,0.027750906108346067,-0.00638330221283833,0.013795328963375535,0.004137215370865097,-0.00760571526557718,-0.005105538680732383,-0.000733634470896432,-0.01670713917139923,0.02049918149553499,0.02833910919312965,0.020963748418367352,0.051655231841913125,0.022484956641795728,-0.0008151044172602421,0.01314042596463608,0.0021393329519662817,0.027610804472334737,-0.002489553765990373
