subs,dorsal_ventral_occipital,dorsal_frontal_occipital,dorsal_occipital_occipital,ventral_dorsal_occipital,ventral_frontal_occipital,ventral_occipital_occipital,frontal_dorsal_occipital,frontal_ventral_occipital,frontal_occipital_occipital,occipital_dorsal_occipital,occipital_ventral_occipital,occipital_frontal_occipital
AC,0.023839326583280543,0.028331611650344552,0.010163059971072504,-0.013412464388281276,0.004014149938980312,0.008622884749245247,-0.02555412200779274,-0.0003651256396624195,0.012593013171184428,0.007711448983110827,0.011771171498675724,-0.007595717888384851
AM,-0.06283486953044427,0.04065050589089402,-0.03271215240983466,0.05972450148808225,0.02117487156810052,-0.013998195902279631,-0.040891055173631966,-0.019855144264471488,-0.004386162262388416,0.030016392552909024,0.026814974654440254,0.002680838731741654
BB,0.04509672522816895,0.04079449461328466,-0.007848912875794083,-0.02020002301156798,-0.04003809759093694,-0.027278109375565525,-0.02725122306473978,0.06722780643358663,0.030252850589414213,0.06207239320014568,0.1259314048466313,0.017611885905646732
CM,0.025088078428715882,0.004190756668341306,-0.05460218166367902,0.0017499345647896097,-0.0063807943133800645,-0.017189799325682844,0.0026383335335084077,0.017931297010878474,0.00022137158136351006,0.10923273556199921,0.08317539200199715,0.012302813631202114
CR,0.053013349903383335,-0.024975511477649953,0.03000298178188768,0.006902880757950692,-0.003246577481959664,0.01842330184923155,0.01684571359868044,-0.004469943214727512,0.01927358632558193,0.0991211856076339,0.10898373078899122,-0.02918956473409907
GG,0.00421419169194424,-0.021877013161113172,0.0012312820491277758,0.003794250001017214,-0.04388949702396518,-0.01112424750724879,0.02610049051663241,0.04726838212461538,0.03618742680803508,0.028234223997402018,0.03721195157782182,-0.03347511450849752
HA,0.06678062704718718,-9.969586775509377e-06,0.06936490692832167,0.016277679802467665,0.010253277084132026,-0.008944521953726194,0.03822699202757069,0.025645326009854853,0.010886638547116056,0.047345237928014504,0.11843505977574198,0.039724221687351714
IB,0.014760925351913631,0.01436648137461533,0.029416539958654897,0.02389149986246825,-0.002964396395197583,0.04604985182190649,-0.03393327724348766,-0.014851382041461424,-0.059076416407803096,0.0842468685956928,0.055840898074329216,0.029542341113515166
JM,0.02154216006776473,-0.05011430775575957,0.024011584247044155,-0.022556680159771306,-0.03760487519080564,0.03184427515120614,0.035292664580493883,0.019249565251096595,0.006082167453265694,0.005222233079495158,0.005551982456963953,-0.015360212697948463
JR,0.018772717123392194,0.03758000682839777,0.07414757765148662,-0.007167694920090379,-0.006279344364095197,0.041979548445997265,-0.03570930321358572,0.016671138082225603,0.06796458079426898,-0.03377803780861474,0.014953232155501735,-0.03167248270860884
KK,0.07328121058682924,0.019289687952214734,0.026009367688446732,-0.05733670970116489,-0.012883967047075938,-0.043968688806532485,-0.02117085878230251,0.012465599960097384,0.05370603570453862,0.0012122848244187688,0.0845636083975017,-0.06069207500931862
KT,0.003290842906888751,-0.01929401057216046,0.03695416405829985,0.04001369163823803,0.026854986239738535,0.05292996298399435,0.013934542534001768,-0.03526285762011795,-0.030722790108498925,0.08361168383731735,0.09236152840211914,0.02449715132572298
MC,0.05781890139823308,0.003020561957144093,0.08821716187592936,-0.03510612326992226,0.007209845584769417,0.0070491616266114745,-0.0032603047628959173,-0.004341792361751972,-0.00979140216800954,-0.06796320512538552,0.009661374222828412,0.009197264540698098
MH,0.12897945130141905,0.022014451322333498,0.068794465592201,-0.08885937922537457,-0.045367777094262485,0.0030356429632338077,0.004563469743009108,0.09650694526677775,0.015822497232661686,-0.023939938281379414,0.05251241607437037,0.03975993098585587
NF,0.02904114821567951,0.02099085419445173,0.027015747457257995,-0.01183353964477815,0.02301454229937443,0.0260244139195708,-0.023244124820381386,-0.024518990373677312,-0.03159516927327255,0.008057741412887495,0.014505930497986746,0.02373360594288838
SB,0.08730762302485578,0.03510265422159009,-0.09249980060886412,-0.09029490914733478,0.012859026586070054,-0.09748734857164687,-0.03355913263864139,-0.016096825726659904,0.057471683841574445,0.11613647830611125,0.08966278053253385,-0.04176676212411927
SG,0.02519320388200162,-0.021070360262379764,0.023075283890785666,-0.017490189912846118,0.0016587765788131114,-0.011571682051144495,0.021231780100588783,0.003094277643067934,-0.007894957436287703,0.007027195876200682,0.07434835393674528,0.008610458975789492
SOG,0.05860141708976976,0.03817519962230847,0.0516889998973663,-0.031606438304981874,-0.007460910923626881,0.021368515509769922,-0.03155525441772586,0.011665014890156455,0.03159712207368782,-0.02626041236987529,0.018509474015340605,-0.029946293850576903
TL,0.03838123242532538,0.0103042577515411,0.021691144086148584,-0.005452371725406158,-0.011355852625631067,0.013578103793282711,0.0037600216556709395,0.024776927729607986,0.01894394892884409,0.04718441684139265,0.04100853857658997,-0.004514104146674332
ZZ,0.010228950643152143,-0.013012483063686858,0.033300233531182645,0.036566052527201735,0.026459670125788367,0.0515757579043914,0.030219173416850268,0.006996989413333354,0.027441573893371627,0.03060052491211493,0.03971046746842434,0.014540641158665886
