,corrs,x_coord,y_coord,offset,label
54,-0.11045945209619693,[0],[54],[-216],Dorsal
55,-0.12307132556196705,[0],[55],[-220],Dorsal
56,-0.12747608455101062,[0],[56],[-224],Dorsal
57,-0.1184074261597883,[0],[57],[-228],Dorsal
58,-0.10877166244956529,[0],[58],[-232],Dorsal
59,-0.13318312833581802,[0],[59],[-236],Dorsal
60,-0.17440335144876545,[0],[60],[-240],Dorsal
61,-0.2035494748574595,[0],[61],[-244],Dorsal
62,-0.222833105206939,[0],[62],[-248],Dorsal
63,-0.20755235043463902,[0],[63],[-252],Dorsal
64,-0.18024136299305363,[0],[64],[-256],Dorsal
65,-0.18460894280899778,[0],[65],[-260],Dorsal
66,-0.18203868878936735,[0],[66],[-264],Dorsal
67,-0.1642821236120746,[0],[67],[-268],Dorsal
68,-0.1609506641997416,[0],[68],[-272],Dorsal
69,-0.17814583981032003,[0],[69],[-276],Dorsal
70,-0.19020778550809794,[0],[70],[-280],Dorsal
71,-0.20461309345355091,[0],[71],[-284],Dorsal
72,-0.18553963413639843,[0],[72],[-288],Dorsal
73,-0.11948003439966971,[0],[73],[-292],Dorsal
74,0.4648130339340615,[1],[0],[4],Ventral
75,0.5632308040883599,[1],[1],[0],Same
76,0.5324802753796681,[1],[2],[-4],Dorsal
77,0.39192120052500784,[1],[3],[-8],Dorsal
78,0.2446382179980071,[1],[4],[-12],Dorsal
79,0.12421567127788577,[1],[5],[-16],Dorsal
80,0.038014377252686124,[1],[6],[-20],Dorsal
81,0.0006758734174036231,[1],[7],[-24],Dorsal
82,0.03363461323881642,[1],[8],[-28],Dorsal
83,0.09248620644704095,[1],[9],[-32],Dorsal
84,0.10075310480892091,[1],[10],[-36],Dorsal
85,0.07702213625999157,[1],[11],[-40],Dorsal
86,0.08144391593388649,[1],[12],[-44],Dorsal
87,0.11107303731415986,[1],[13],[-48],Dorsal
88,0.17564181690753417,[1],[14],[-52],Dorsal
89,0.16009696907019752,[1],[15],[-56],Dorsal
90,0.10060538465456231,[1],[16],[-60],Dorsal
91,0.06865284920301654,[1],[17],[-64],Dorsal
92,0.0755588474553767,[1],[18],[-68],Dorsal
93,0.0713472147445183,[1],[19],[-72],Dorsal
94,0.045850029369120804,[1],[20],[-76],Dorsal
95,0.010884134294646144,[1],[21],[-80],Dorsal
96,-0.019727117786292228,[1],[22],[-84],Dorsal
97,-0.04845403543291302,[1],[23],[-88],Dorsal
98,-0.07210676979892856,[1],[24],[-92],Dorsal
99,-0.10510720000903162,[1],[25],[-96],Dorsal
100,-0.11460351621625009,[1],[26],[-100],Dorsal
101,-0.10529387639791762,[1],[27],[-104],Dorsal
102,-0.06191488278360907,[1],[28],[-108],Dorsal
103,-0.020046155452641084,[1],[29],[-112],Dorsal
