stim1,stim2,similarity
bird_01.tif,bird_02.tif,9.660458
bird_01.tif,bird_03.tif,15.832469
bird_01.tif,bird_04.tif,15.281388
bird_01.tif,bird_05.tif,12.982889
bird_01.tif,graspable_01.tif,23.218384
bird_01.tif,graspable_02.tif,19.344625
bird_01.tif,graspable_03.tif,21.011293
bird_01.tif,graspable_04.tif,21.798168
bird_01.tif,graspable_05.tif,21.72538
bird_01.tif,insect_01.tif,19.044586
bird_01.tif,insect_02.tif,20.467886
bird_01.tif,insect_03.tif,21.123743
bird_01.tif,insect_04.tif,20.074465
bird_01.tif,insect_05.tif,20.362354
bird_01.tif,tool_01.tif,20.252983
bird_01.tif,tool_02.tif,20.131222
bird_01.tif,tool_03.tif,21.818502
bird_01.tif,tool_04.tif,16.535223
bird_01.tif,tool_05.tif,24.810184
bird_02.tif,bird_03.tif,16.394243
bird_02.tif,bird_04.tif,15.155952
bird_02.tif,bird_05.tif,13.119849
bird_02.tif,graspable_01.tif,23.388033
bird_02.tif,graspable_02.tif,20.525757
bird_02.tif,graspable_03.tif,22.948092
bird_02.tif,graspable_04.tif,23.464396
bird_02.tif,graspable_05.tif,23.012754
bird_02.tif,insect_01.tif,20.746866
bird_02.tif,insect_02.tif,21.517696
bird_02.tif,insect_03.tif,22.577621
bird_02.tif,insect_04.tif,21.12504
bird_02.tif,insect_05.tif,22.21051
bird_02.tif,tool_01.tif,22.534224
bird_02.tif,tool_02.tif,22.254112
bird_02.tif,tool_03.tif,24.235462
bird_02.tif,tool_04.tif,18.395235
bird_02.tif,tool_05.tif,26.305874
bird_03.tif,bird_04.tif,13.123714
bird_03.tif,bird_05.tif,14.683213
bird_03.tif,graspable_01.tif,22.930986
bird_03.tif,graspable_02.tif,20.877825
bird_03.tif,graspable_03.tif,21.118725
bird_03.tif,graspable_04.tif,21.71301
bird_03.tif,graspable_05.tif,22.043222
bird_03.tif,insect_01.tif,21.093706
bird_03.tif,insect_02.tif,21.07977
bird_03.tif,insect_03.tif,21.139414
bird_03.tif,insect_04.tif,20.396433
bird_03.tif,insect_05.tif,24.43496
bird_03.tif,tool_01.tif,20.534313
bird_03.tif,tool_02.tif,21.817957
bird_03.tif,tool_03.tif,22.831871
bird_03.tif,tool_04.tif,18.20376
bird_03.tif,tool_05.tif,23.912718
bird_04.tif,bird_05.tif,13.6753
bird_04.tif,graspable_01.tif,22.812365
bird_04.tif,graspable_02.tif,20.381596
bird_04.tif,graspable_03.tif,21.45019
bird_04.tif,graspable_04.tif,22.416502
bird_04.tif,graspable_05.tif,23.099026
bird_04.tif,insect_01.tif,19.119608
bird_04.tif,insect_02.tif,20.74611
bird_04.tif,insect_03.tif,22.02696
bird_04.tif,insect_04.tif,20.682901
bird_04.tif,insect_05.tif,21.217981
bird_04.tif,tool_01.tif,19.869139
bird_04.tif,tool_02.tif,20.577906
bird_04.tif,tool_03.tif,21.866137
bird_04.tif,tool_04.tif,16.548368
bird_04.tif,tool_05.tif,23.48589
bird_05.tif,graspable_01.tif,21.958769
bird_05.tif,graspable_02.tif,19.199799
bird_05.tif,graspable_03.tif,20.208105
bird_05.tif,graspable_04.tif,21.804747
bird_05.tif,graspable_05.tif,21.722424
bird_05.tif,insect_01.tif,18.934666
bird_05.tif,insect_02.tif,20.072262
bird_05.tif,insect_03.tif,20.73458
bird_05.tif,insect_04.tif,19.306671
bird_05.tif,insect_05.tif,22.369175
bird_05.tif,tool_01.tif,20.86408
bird_05.tif,tool_02.tif,20.19951
bird_05.tif,tool_03.tif,22.835388
bird_05.tif,tool_04.tif,16.850773
bird_05.tif,tool_05.tif,25.637632
graspable_01.tif,graspable_02.tif,18.353025
graspable_01.tif,graspable_03.tif,20.342302
graspable_01.tif,graspable_04.tif,20.701506
graspable_01.tif,graspable_05.tif,21.777874
graspable_01.tif,insect_01.tif,22.19915
graspable_01.tif,insect_02.tif,20.018436
graspable_01.tif,insect_03.tif,26.702356
graspable_01.tif,insect_04.tif,21.836195
