stim1,stim2,similarity
graspable_01.tif,insect_05.tif,24.886744
graspable_01.tif,tool_01.tif,21.80841
graspable_01.tif,tool_02.tif,20.78311
graspable_01.tif,tool_03.tif,21.834852
graspable_01.tif,tool_04.tif,20.065298
graspable_01.tif,tool_05.tif,25.345274
graspable_02.tif,graspable_03.tif,20.526915
graspable_02.tif,graspable_04.tif,21.168724
graspable_02.tif,graspable_05.tif,19.851107
graspable_02.tif,insect_01.tif,19.823376
graspable_02.tif,insect_02.tif,20.918793
graspable_02.tif,insect_03.tif,23.102259
graspable_02.tif,insect_04.tif,20.537197
graspable_02.tif,insect_05.tif,23.034561
graspable_02.tif,tool_01.tif,19.545835
graspable_02.tif,tool_02.tif,18.823357
graspable_02.tif,tool_03.tif,19.850391
graspable_02.tif,tool_04.tif,16.111343
graspable_02.tif,tool_05.tif,22.823313
graspable_03.tif,graspable_04.tif,15.605915
graspable_03.tif,graspable_05.tif,19.047052
graspable_03.tif,insect_01.tif,17.33666
graspable_03.tif,insect_02.tif,21.02832
graspable_03.tif,insect_03.tif,25.81477
graspable_03.tif,insect_04.tif,22.230602
graspable_03.tif,insect_05.tif,24.499249
graspable_03.tif,tool_01.tif,19.860598
graspable_03.tif,tool_02.tif,16.617235
graspable_03.tif,tool_03.tif,20.066238
graspable_03.tif,tool_04.tif,16.827156
graspable_03.tif,tool_05.tif,21.908766
graspable_04.tif,graspable_05.tif,14.890607
graspable_04.tif,insect_01.tif,21.56675
graspable_04.tif,insect_02.tif,22.878664
graspable_04.tif,insect_03.tif,27.228128
graspable_04.tif,insect_04.tif,24.163254
graspable_04.tif,insect_05.tif,25.716658
graspable_04.tif,tool_01.tif,21.815277
graspable_04.tif,tool_02.tif,20.419842
graspable_04.tif,tool_03.tif,21.61266
graspable_04.tif,tool_04.tif,19.473463
graspable_04.tif,tool_05.tif,25.738808
graspable_05.tif,insect_01.tif,21.939306
graspable_05.tif,insect_02.tif,22.660767
graspable_05.tif,insect_03.tif,25.070152
graspable_05.tif,insect_04.tif,22.399794
graspable_05.tif,insect_05.tif,25.814072
graspable_05.tif,tool_01.tif,22.248371
graspable_05.tif,tool_02.tif,20.743612
graspable_05.tif,tool_03.tif,21.766523
graspable_05.tif,tool_04.tif,18.535574
graspable_05.tif,tool_05.tif,25.439875
insect_01.tif,insect_02.tif,18.05138
insect_01.tif,insect_03.tif,24.380415
insect_01.tif,insect_04.tif,20.453207
insect_01.tif,insect_05.tif,20.09325
insect_01.tif,tool_01.tif,19.18061
insect_01.tif,tool_02.tif,17.829014
insect_01.tif,tool_03.tif,19.610893
insect_01.tif,tool_04.tif,14.291448
insect_01.tif,tool_05.tif,21.241251
insect_02.tif,insect_03.tif,24.123991
insect_02.tif,insect_04.tif,20.630932
insect_02.tif,insect_05.tif,23.537657
insect_02.tif,tool_01.tif,21.835094
insect_02.tif,tool_02.tif,20.603193
insect_02.tif,tool_03.tif,21.940702
insect_02.tif,tool_04.tif,19.040545
insect_02.tif,tool_05.tif,24.274559
insect_03.tif,insect_04.tif,12.183533
insect_03.tif,insect_05.tif,25.405275
insect_03.tif,tool_01.tif,21.995544
insect_03.tif,tool_02.tif,25.76471
insect_03.tif,tool_03.tif,27.302471
insect_03.tif,tool_04.tif,21.688616
insect_03.tif,tool_05.tif,29.590765
insect_04.tif,insect_05.tif,23.86487
insect_04.tif,tool_01.tif,20.45977
insect_04.tif,tool_02.tif,22.845243
insect_04.tif,tool_03.tif,24.392525
insect_04.tif,tool_04.tif,18.468493
insect_04.tif,tool_05.tif,27.364943
insect_05.tif,tool_01.tif,22.012596
insect_05.tif,tool_02.tif,23.963392
insect_05.tif,tool_03.tif,23.846647
insect_05.tif,tool_04.tif,19.949558
insect_05.tif,tool_05.tif,27.448887
tool_01.tif,tool_02.tif,19.705065
tool_01.tif,tool_03.tif,20.175404
tool_01.tif,tool_04.tif,16.520107
tool_01.tif,tool_05.tif,22.93556
tool_02.tif,tool_03.tif,16.551577
tool_02.tif,tool_04.tif,16.477427
tool_02.tif,tool_05.tif,19.328632
tool_03.tif,tool_04.tif,16.67637
tool_03.tif,tool_05.tif,18.409443
tool_04.tif,tool_05.tif,18.761246
