sub,ventral_frontal
AC,0.00133245063045884
AM,0.000370809694703267
BB,-0.0201685373917246
CM,-0.0372043166688039
CR,-0.0312563017531751
GG,-0.0131260367682269
HA,0.0274348864066243
IB,-0.0219108536445702
JM,0.00525375841152442
JR,-0.00750358272948937
KK,0.0202417962267192
KT,0.0711180841445299
MC,0.0662668365143599
MH,0.022649815811544
NF,0.0118246671334257
SB,0.0120600670793344
SG,0.00701724640268209
SOG,-0.0386400521740644
TL,0.0308840172543838
ZZ,0.0180928483355787
