sub,dorsal_ventral
AC,-0.000978870096375317
AM,0.00172554385030299
BB,0.000711375470506148
CM,0.000898747564134439
CR,-0.00117197287609816
GG,-0.00592112614678442
HA,-0.00022523739431346
IB,-0.00111558941760226
JM,0.00291687273732943
JR,-0.00027085156030271
KK,-0.000193881492577042
KT,0.003538712788413
MC,-0.00242374790288213
MH,-0.000120845530816815
NF,0.00134044937176547
SB,0.0103605006394099
SG,0.00909206199930956
SOG,0.0168831691251636
TL,-0.0234759794947181
ZZ,0.00109724300484881
